Longueur d'onde (nm),Absorbance,Tension reference (Volt),Tension echantillon (Volt),pas de vis (mm)
402.0,0.0,101.17,101.17,15.13522798251093
401.5,0.002407767520488726,99.48,98.93,15.150843222985634
401.0,0.0072699716424989265,100.6,98.93,15.166458463460335
400.5,0.0,97.34,97.34,15.182073703935039
400.0,-0.0023770485069631816,98.39,98.93,15.197688944409743
