Longueur d'onde (nm),Tension blanc (Volt)
624.7987000000005,-0.0042974
626.1448000000005,-0.0046091
627.4909000000006,-0.0049208
628.8370000000006,-0.0052326
630.1831000000005,-0.0058562
631.5292000000006,-0.0065576
632.8753000000006,-0.0071811
634.2214000000006,-0.0075708
635.5675000000006,-0.0080384
636.9136000000005,-0.0081943
638.2597000000006,-0.0081943
639.6058000000006,-0.0082722
640.9519000000006,-0.0081943
642.2980000000007,-0.0080384
643.6441000000007,-0.0077267
644.9902000000006,-0.0076487
646.3363000000006,-0.0075708
647.6824000000006,-0.0074928
649.0285000000006,-0.0074928
650.3746000000007,-0.007337
651.7207000000006,-0.007259
653.0668000000006,-0.0071811
654.4129000000007,-0.007259
655.7590000000007,-0.0071031
657.1051000000007,-0.0070252
658.4512000000007,-0.0068693
659.7973000000006,-0.0069473
661.1434000000006,-0.0068693
662.4895000000007,-0.0068693
663.8356000000007,-0.0067914
665.1817000000008,-0.0064017
666.5278000000008,-0.0059341
667.8739000000007,-0.006012
