Longueur d'onde (nm),Tension échantillon (Volt)
597.8767000000005,-0.0002445
599.2228000000005,-0.0001666
600.5689000000004,-8.86e-05
601.9150000000004,-0.0001666
603.2611000000004,-0.0001666
604.6072000000005,-0.0002445
605.9533000000005,-0.0002445
607.2994000000004,-0.0002445
608.6455000000005,-0.0004004
609.9916000000005,-0.0006342
611.3377000000005,-0.000946
612.6838000000005,-0.0014136
614.0299000000005,-0.0018033
615.3760000000005,-0.0024268
616.7221000000005,-0.0030503
618.0682000000005,-0.0039077
619.4143000000005,-0.0049988
620.7604000000006,-0.0056223
622.1065000000006,-0.0061679
623.4526000000005,-0.0063238
624.7987000000005,-0.0066355
626.1448000000005,-0.007259
627.4909000000006,-0.0080384
628.8370000000006,-0.0089737
630.1831000000005,-0.0102207
631.5292000000006,-0.0117015
632.8753000000006,-0.0130265
634.2214000000006,-0.0140397
635.5675000000006,-0.0148191
636.9136000000005,-0.0153647
638.2597000000006,-0.0154426
639.6058000000006,-0.0155985
640.9519000000006,-0.0156764
642.2980000000007,-0.0152867
643.6441000000007,-0.0147412
644.9902000000006,-0.0146632
646.3363000000006,-0.0145853
647.6824000000006,-0.0143515
649.0285000000006,-0.0141956
650.3746000000007,-0.0141177
651.7207000000006,-0.0139618
653.0668000000006,-0.0138838
654.4129000000007,-0.013728
655.7590000000007,-0.01365
657.1051000000007,-0.0134941
658.4512000000007,-0.0133383
659.7973000000006,-0.0132603
661.1434000000006,-0.0132603
662.4895000000007,-0.0131044
663.8356000000007,-0.0130265
665.1817000000008,-0.0121692
666.5278000000008,-0.0116236
667.8739000000007,-0.0115457
