Longueur d'onde (nm),Absorbance
400.0,0.7979831322290148
402.8845,1.6883192524047574e-05
405.769,0.7979160814844295
408.6535,0.0002509646332182272
411.538,-0.01366034960772708
412.0,0.014105845174153234
413.0,0.01606262350417742
414.0,-0.018765365218266973
415.0,-0.026339673856505666
416.0,0.057378144726135616
417.0,0.23617844095125878
418.0,0.27285917838017704
419.0,0.025948631130373698
420.0,-0.02211129759569741
421.0,0.28071785302680796
422.0,0.0017017064681945082
423.0,0.271751195779835
424.0,0.16700389251062273
425.0,0.2770198182565572
426.0,0.5553803859387677
427.0,0.1274949349670797
428.0,0.5544838380506869
429.0,0.28994250156868906
430.0,0.5656007476550295
431.0,0.6347009115514162
432.0,0.5010236672967389
433.0,0.4792824483206438
434.0,0.4632513376237334
435.0,0.32426444692583567
436.0,0.2648353532527265
437.0,0.3987567500111593
438.0,0.3543667853218902
439.0,0.30700705420648405
440.0,0.29696912163120487
441.0,0.2878501262780194
442.0,0.2721279862430463
443.0,0.249500814475942
444.0,0.21966672392636277
445.0,0.18305329976238074
446.0,0.1430060160257309
447.0,0.10359981897656392
448.0,0.06890965487503037
449.0,0.04213493158203436
450.0,0.022972903361493775
451.0,0.010245286078079908
452.0,0.0027737955964640465
453.0,-0.0006198522186825055
454.0,-0.0011139415026884497
455.0,0.00011324360911750889
456.0,0.0018834189814066725
457.0,0.0032261549498503166
458.0,0.004002439734119657
459.0,0.004281116024885882
460.0,0.004131026512820182
461.0,0.003621013888593753
462.0,0.002819920842877791
463.0,0.0017965900663434778
464.0,0.0006198642496620121
465.0,-0.0006414139164954138
466.0,-0.0019184017414576064
467.0,-0.003142256534553377
468.0,-0.004244135605111531
469.0,-0.005155196262460883
470.0,-0.005806595815930227
471.0,-0.0061294915748483815
472.0,-0.0060550408485441475
473.0,-0.0055240949616365735
474.0,-0.004516281299905633
475.0,-0.0030209212644215456
476.0,-0.0010273362562545003
477.0,0.0014751523235252717
478.0,0.004497223073847564
479.0,0.008049554593642181
480.0,0.01214282548183889
481.0,0.016787714337367483
482.0,0.021994899759157756
483.0,0.027775060346139503
484.0,0.0341388746972425
485.0,0.04109702141139654
486.0,0.04866017908753142
487.0,0.05683902632457692
488.0,0.06564424172146284
489.0,0.07508650387711896
490.0,0.08517649139047506
491.0,0.09592488286046094
492.0,0.10734235688600641
493.0,0.11943959206604121
494.0,0.13222726699949516
495.0,0.14571606028529807
496.0,0.15991665052237966
497.0,0.17483971630966982
498.0,0.19049593624609823
499.0,0.20689598893059474
500.0,0.2240505529620892
501.0,0.24197030693951124
502.0,0.2606659294617908
503.0,0.28014809912785754
504.0,0.3004274945366414
505.0,0.3215147942870721
506.0,0.34343082613605913
507.0,0.3662370144724315
508.0,0.3900049328429978
509.0,0.4148061547945666
510.0,0.4407122538739468
511.0,0.4677948036279469
512.0,0.49612537760337555
513.0,0.5257755493470415
514.0,0.5568168924057534
515.0,0.58932098032632
516.0,0.6233593866555495
517.0,0.6590036849402512
518.0,0.6963254487272332
519.0,0.7353962515633048
520.0,0.7762876669952741
521.0,0.8190712685699498
522.0,0.8638425898171735
523.0,0.9107930041989157
524.0,0.9601378451601799
525.0,1.0120924461459697
526.0,1.0668721406012887
527.0,1.1246922619711397
528.0,1.1857681437005267
529.0,1.250315119234453
530.0,1.3161257895191105
531.0,1.3713018255054463
532.0,1.4155037299787327
533.0,1.5043182630567957
534.0,1.6671678854906617
535.0,1.7728916032316056
536.0,1.824432819729204
537.0,2.069835008207133
538.0,2.0915629518916616
539.0,2.9807669236524457
540.0,1.8390498313980588
541.0,2.0815466931786553
542.0,1.840018898186154
543.0,3.0142158219666286
544.0,3.0423859470255854
545.0,3.0263002760642985
546.0,2.1393368634881877
547.0,3.0324222469394617
548.0,3.0619603487021356
549.0,3.043684084090358
550.0,2.278673931097409
551.0,3.053863993883186
552.0,2.2764417701660595
553.0,2.278279150415485
554.0,3.07542742740819
555.0,2.2890958875665417
556.0,2.2879782884399686
557.0,3.0920666349954486
558.0,3.090196664501204
559.0,2.3052347149220713
560.0,2.2964401786253408
561.0,2.314900023654597
562.0,3.100577350708222
563.0,3.098470110612575
564.0,3.0650115969408316
565.0,1.9336705931695306
566.0,1.922758348332178
567.0,2.2532026146371735
568.0,2.2738082337847714
569.0,3.0434548633821352
570.0,2.3066345665770283
571.0,1.890017154027973
572.0,2.309946607246049
573.0,3.0571997682280303
574.0,3.0861671963856616
575.0,3.0744386962631953
576.0,2.1684408286969554
577.0,1.7258553415631905
578.0,1.512855223583844
579.0,1.3155225257177359
580.0,1.1285815266846742
581.0,0.9564192632504199
582.0,0.8034227721807361
583.0,0.6726670044074929
584.0,0.561978567526991
585.0,0.4678719833016402
586.0,0.3868617734938495
587.0,0.3159426721320203
588.0,0.25403026230852394
589.0,0.20052033938172403
590.0,0.15480869870998407
591.0,0.11629113565166763
592.0,0.08436344556513824
593.0,0.05842142380875952
594.0,0.03786086574089509
595.0,0.022077566719908456
596.0,0.010467322104163214
597.0,0.002425927252022936
598.0,-0.002650822478148809
599.0,-0.005367131727988451
600.0,-0.006327205139132416
601.0,-0.0061352473532171325
602.0,-0.005395463011879026
603.0,-0.004611084257200814
604.0,-0.0038814532330503837
605.0,-0.003204939583741893
606.0,-0.002579912953589517
607.0,-0.002004742986907426
608.0,-0.0014777993280097876
609.0,-0.0009974516212107696
610.0,-0.0005620695108245386
611.0,-0.00017002264116527217
612.0,0.00018031934345286925
613.0,0.0004905867987157134
614.0,0.0007624100803090881
615.0,0.0009974195439188312
616.0,0.001197245545230767
617.0,0.0013635184399307298
618.0,0.0014978685837045487
619.0,0.0016019263322380574
620.0,0.0016773220412170846
621.0,0.0017256860663274612
622.0,0.0017486487632550202
623.0,0.001747840487685589
624.0,0.0017248915953050011
625.0,0.001681432441799087
626.0,0.0016190933828536765
627.0,0.0015395047741546034
628.0,0.0014442969713876976
629.0,0.001335100330238784
630.0,0.0012135452063937026
631.0,0.0010812619555382805
632.0,0.0009398809333583479
633.0,0.0007910324955397361
634.0,0.0006363469977682756
635.0,0.00047745479572979996
636.0,0.00031598624511013654
637.0,0.00015357170159511775
638.0,-8.15847912942556e-06
639.0,-0.0001675739413776617
640.0,-0.00032304432946376126
641.0,-0.0004729392877018912
642.0,-0.0006156284604062206
643.0,-0.0007494814918909225
644.0,-0.0008728680264701614
645.0,-0.0009841577084581084
646.0,-0.0010817201821689336
647.0,-0.0011639250919168041
648.0,-0.0012291420820158896
649.0,-0.001275740796780359
650.0,-0.0013020908805243822
651.0,-0.001306561977562127
652.0,-0.0012875237322077645
653.0,-0.001243345788775462
654.0,-0.0011723977915793886
655.0,-0.0010730493849337144
656.0,-0.0009436702131526069
657.0,-0.0007826299205502371
658.0,-0.000588298151440773
659.0,-0.00035904455013838384
660.0,-9.323876095723889e-05
661.0,0.00021074957178849316
662.0,0.000554550803784643
663.0,0.0009397952907170418
664.0,0.0013681133882715198
665.0,0.001841135452133909
666.0,0.002360491837990039
