Longueur d'onde (nm),Tension photodiode 1 (Volt),Tension photodiode 2 (Volt),pas de vis (mm)
800.0,-0.41904533250597886,-0.16416312529574836,0.085
797.35614307905,-0.5448102690049254,-0.2080673201932657,0.17
794.7122861581,-0.946868699729038,-0.36497613812971424,0.255
792.06842923715,-0.39655254779793175,-0.1480505015070029,0.34
789.4245723162,-0.3179359368227659,-0.11961009769988529,0.42500000000000004
786.78071539525,-0.30290469966679906,-0.11128343937628327,0.51
784.1368584743,-0.28095260466508437,-0.10652534886368353,0.595
781.49300155335,-0.25835167869510606,-0.09787427513252485,0.68
778.8491446324,-0.2590005091258645,-0.09473826088812459,0.765
776.20528771145,-0.24569948554985557,-0.09603592196817957,0.85
773.5614307905,-0.25727029473929103,-0.09571150670034384,0.935
770.91757386955,-0.24970060642182992,-0.09376501509446651,1.02
768.2737169486,-0.25964933960430114,-0.08587091020449596,1.105
765.62986002765,-0.2537017273653225,-0.09171038506174463,1.19
762.9860031067,-0.24764597664862817,-0.08608718703605668,1.2750000000000001
760.34214618575,-0.2718689790136167,-0.09106155451115183,1.36
757.6982892648,-0.26505625968716834,-0.1006858741101128,1.445
755.05443234385,-0.30322911478488496,-0.11387876146349768,1.53
752.4105754229,-0.3116639097407297,-0.11809615983022313,1.615
749.76671850195,-0.43169752352050583,-0.1536736991052503,1.7000000000000002
747.122861581,-0.3607587408273098,-0.1268553717582748,1.7850000000000001
744.47900466005,-0.3897398294341767,-0.13420878415499324,1.87
741.8351477391,-0.47473660002226925,-0.1677316929428064,1.955
739.19129081815,-0.6005015311473555,-0.22190903636971757,2.04
736.5474338972,-0.4413218398376566,-0.15410625276495094,2.125
733.90357697625,-0.3126371553016693,-0.11182413144833377,2.21
731.2597200553,-0.2934966587871712,-0.09971262831524498,2.295
728.61586313435,-0.2853862790407555,-0.10630907202429442,2.3800000000000003
725.9720062133999,-0.2984710252028875,-0.09863124409457091,2.4650000000000003
723.32814929245,-0.30723023544873224,-0.1057683799063423,2.5500000000000003
720.6842923715,-0.31166390976186165,-0.0992800746322184,2.6350000000000002
718.04043545055,-0.3156650304675483,-0.10544396465422111,2.72
715.3965785296,-0.31858476703364674,-0.10912067095976093,2.805
712.75272160865,-0.32626259314659856,-0.10803928673948764,2.89
710.1088646877,-0.3206393965856969,-0.11463573039687773,2.975
707.46500776675,-0.3352380798810613,-0.11582525300523812,3.06
704.8211508458,-0.32993929866040356,-0.11182413145286056,3.145
702.17729392485,-0.32593817811550146,-0.10414630360400216,3.23
699.5334370039,-0.3432403212133172,-0.10987763990162443,3.3150000000000004
696.88958008295,-0.3236672716358655,-0.11647408351921074,3.4000000000000004
