Longueur d'onde (nm),Tension échantillon (Volt),Liste_pas_vis
385.38102639690163,-0.009186021133580729,0
387.45412126491715,-0.009072758763432519,0.06665
389.5272161329326,-0.008668250297118024,0.1333
391.60031100094807,-0.00927501299651214,0.19995000000000002
393.6734058689636,-0.01056134991596921,0.2666
395.74650073697904,-0.011022489565368764,0.33325
397.8195956049945,-0.01132991599802605,0.3999
399.89269047300996,-0.011216653628140196,0.46654999999999996
401.9657853410255,-0.012244105125100904,0.5332
404.03888020904094,-0.011046760073235785,0.59985
406.1119750770564,-0.010326735006408473,0.6665
408.18506994507186,-0.009922226541455442,0.73315
410.2581648130874,-0.00946108689074973,0.7998
412.33125968110284,-0.009833234678881387,0.8664499999999999
414.4043545491183,-0.00963098044619264,0.9330999999999999
416.4774494171338,-0.009954587218681041,0.9997499999999999
418.5505442851493,-0.010391456360856257,1.0664
420.62363915316473,-0.009728062478061416,1.1330500000000001
422.6967340211802,-0.009719972308760061,1.1997000000000002
424.7698288891957,-0.010253923482608906,1.2663500000000003
426.84292375721117,-0.010456177715219924,1.3330000000000004
428.9160186252266,-0.010512808900198147,1.3996500000000005
430.9891134932421,-0.01097394854968851,1.4663000000000006
433.0622083612576,-0.01120047328955771,1.5329500000000007
435.13530322927306,-0.01156453090691093,1.5996000000000008
437.2083980972885,-0.011467448875641146,1.666250000000001
439.28149296530404,-0.011977129539511105,1.732900000000001
441.3545878333195,-0.012357367494654365,1.799550000000001
443.42768270133496,-0.013643704404072912,1.8662000000000012
445.5007775693504,-0.014096753880534519,1.9328500000000013
447.57387243736594,-0.01393495049615875,1.9995000000000014
449.6469673053814,-0.01523746773872745,2.0661500000000013
451.72006217339685,-0.014816778940355935,2.1328000000000014
453.79315704141237,-0.015690517213297617,2.1994500000000015
455.86625190942783,-0.016758419544401403,2.2661000000000016
457.9393467774433,-0.018942765212479513,2.3327500000000017
460.01244164545875,-0.02244580842519963,2.3994000000000018
462.08553651347427,-0.021531619321981683,2.466050000000002
464.1586313814897,-0.021782414562786977,2.532700000000002
466.2317262495052,-0.020059208549302012,2.599350000000002
468.30482111752065,-0.018853773352246746,2.666000000000002
470.37791598553616,-0.01832791235902485,2.7326500000000022
472.4510108535516,-0.018942765212489453,2.7993000000000023
474.5241057215671,-0.018497805910738074,2.8659500000000024
476.5972005895826,-0.018797142168244962,2.9326000000000025
478.67029545759806,-0.020350454636498004,2.9992500000000026
480.7433903256135,-0.019484806543020497,3.0659000000000027
482.816485193629,-0.01922592113144947,3.132550000000003
484.8895800616445,-0.02070642207636897,3.199200000000003
486.96267492965995,-0.019468626204785455,3.265850000000003
489.0357697976754,-0.018085207285021658,3.332500000000003
491.10886466569093,-0.01814992863797486,3.3991500000000032
493.1819595337064,-0.016628976837710058,3.4658000000000033
495.25505440172185,-0.016677517852794255,3.5324500000000034
497.3281492697373,-0.019832683814542472,3.5991000000000035
499.4012441377528,-0.016362001255186588,3.6657500000000036
501.4743390057683,-0.015253648077062129,3.7324000000000037
503.54743387378375,-0.01473587724830513,3.799050000000004
505.6205287417992,-0.013781237280933523,3.865700000000004
507.6936236098147,-0.01319065492696855,3.932350000000004
509.7667184778302,-0.012802326803399267,3.999000000000004
511.83981334584564,-0.012511080710522909,4.065650000000004
513.9129082138611,-0.012761875957238425,4.132300000000004
515.9860030818766,-0.012705244772485181,4.198950000000004
518.059097949892,-0.013263466450119768,4.2656000000000045
520.1321928179075,-0.0174622642609975,4.332250000000005
522.205287685923,-0.01584423042777448,4.398900000000005
524.2783825539385,-0.01714674766403582,4.465550000000005
526.351477421954,-0.01398349151150694,4.532200000000005
528.4245722899694,-0.01637009142439063,4.598850000000005
530.497667157985,-0.012147023094019136,4.665500000000005
532.5707620260005,-0.011807235984999722,4.732150000000005
534.6438568940159,-0.011443178367827905,4.798800000000005
536.7169517620314,-0.010666522116826112,4.865450000000005
538.7900466300468,-0.010383366191581834,4.9321000000000055
540.8631414980623,-0.010253923482780463,4.998750000000006
542.9362363660778,-0.010075939757884947,5.065400000000006
545.0093312340932,-0.009784693663211268,5.132050000000006
547.0824261021087,-0.009711882139236534,5.198700000000006
549.1555209701241,-0.009622890276389816,5.265350000000006
551.2286158381397,-0.00912938994858913,5.332000000000006
553.3017107061552,-0.009380185197281427,5.398650000000006
555.3748055741708,-0.00883005368365734,5.465300000000006
557.4479004421862,-0.008465996063751568,5.531950000000006
559.5209953102017,-0.008676340465620368,5.5986000000000065
561.5940901782172,-0.008773422498227589,5.665250000000007
563.6671850462327,-0.009250742488493505,5.731900000000007
565.7402799142483,-0.008425545216260207,5.798550000000007
567.8133747822637,-0.008401274707664988,5.865200000000007
569.8864696502792,-0.007851143193537028,5.931850000000007
571.9595645182947,-0.007794512007786465,5.998500000000007
574.0326593863102,-0.007778331668495624,6.065150000000007
576.1057542543257,-0.007729790652842986,6.131800000000007
578.1788491223413,-0.007786421837550364,6.198450000000007
580.2519439903567,-0.00744663472600342,6.265100000000007
582.3250388583722,-0.007794512006561544,6.3317500000000075
584.3981337263878,-0.00785114319244357,6.398400000000008
586.4712285944032,-0.008053397424916764,6.465050000000008
588.5443234624188,-0.007681249636676764,6.531700000000008
590.6174183304342,-0.008126208949613646,6.598350000000008
592.6905131984497,-0.007640798789984448,6.665000000000008
594.7636080664653,-0.007932044885763725,6.731650000000008
596.8367029344807,-0.007624618451139151,6.798300000000008
598.9097978024963,-0.007438544556533288,6.864950000000008
600.9828926705118,-0.007762151329524932,6.931600000000008
603.0559875385272,-0.007551806927258263,6.9982500000000085
