Longueur d'onde (nm),Absorbance
400.0,0.7979854953686156
402.8845,0.0
405.769,0.7979854953686156
408.6535,0.0
411.538,0.0
412.0,0.0
413.0,0.0
414.0,0.0
415.0,0.0
416.0,0.0
417.0,0.2742412751837181
418.0,0.2742412751837181
419.0,0.0
420.0,0.0
421.0,0.2742412751837181
422.0,0.0
423.0,0.2742412751837181
424.0,0.16660386638887018
425.0,0.2742412751837181
426.0,0.5610959970842357
427.0,0.1202508555116475
428.0,0.5610959970842357
429.0,0.28685472190051775
430.0,0.5610959970842357
431.0,0.6550603469202303
432.0,0.45802538380119534
433.0,0.5236340628700592
434.0,0.45802538380119534
435.0,0.29142151741232514
436.0,0.29142151741232514
437.0,0.41394737423143085
438.0,0.29369651871978336
439.0,0.34407225036694833
440.0,0.34407225036694833
441.0,0.25010790053095383
442.0,0.2588193443045277
443.0,0.21798168092445572
444.0,0.2588193443045277
445.0,0.19321066523566388
446.0,0.15765557366006644
447.0,0.07820907460537287
448.0,0.06625104666316346
449.0,0.03188464006665496
450.0,0.0
451.0,0.057434877851752233
452.0,0.0
453.0,0.0
454.0,0.0
455.0,0.0
456.0,0.0
457.0,0.0
458.0,0.0
459.0,0.0
460.0,0.0
461.0,0.0
462.0,0.0
463.0,0.0
464.0,0.0
465.0,0.0
466.0,0.0
467.0,0.0
468.0,0.0
469.0,0.0
470.0,0.0
471.0,0.0
472.0,0.0
473.0,0.0
474.0,0.0
475.0,0.0
476.0,0.0
477.0,0.0
478.0,0.0
479.0,0.0
480.0,0.0
481.0,0.0
482.0,0.020128845813659105
483.0,0.019685208468223473
484.0,0.03937800898072298
485.0,0.029196979085375017
486.0,0.04869773429759109
487.0,0.057810082306441156
488.0,0.06824906928472867
489.0,0.07893128438969621
490.0,0.08785636011711015
491.0,0.10757866015055179
492.0,0.09661282021202255
493.0,0.12455770935276278
494.0,0.1409081438048982
495.0,0.1488632247583179
496.0,0.1718610922961005
497.0,0.18275451029972925
498.0,0.1897971068112028
499.0,0.21028166008172108
500.0,0.2298270185006551
501.0,0.237863945072036
502.0,0.2511863035009972
503.0,0.2786195515224613
504.0,0.30030470835759193
505.0,0.31588304372975956
506.0,0.3358254433097507
507.0,0.36088257983779287
508.0,0.3857627436167104
509.0,0.4148867978445354
510.0,0.4469542238485727
511.0,0.47183483837404716
512.0,0.4967172908762573
513.0,0.5136557173637227
514.0,0.566748637674609
515.0,0.5853084532539313
516.0,0.6200293389538646
517.0,0.6571062381967769
518.0,0.7006573710752896
519.0,0.743652688329317
520.0,0.7720392971459271
521.0,0.8211070401365425
522.0,0.8564356193668392
523.0,0.9138470706664766
524.0,0.9788806812174878
525.0,1.0167065597002454
526.0,1.0575101032345848
527.0,1.1017486394601421
528.0,1.203927342455568
529.0,1.2641715810365977
530.0,1.2641715810365977
531.0,1.4102883385718246
532.0,1.4135610069475602
533.0,1.513997625432929
534.0,1.6342484809445765
535.0,1.8040567595467112
536.0,1.8072377012925631
537.0,2.0814789764762813
538.0,2.0782980347304294
539.0,2.9963479789322705
540.0,1.822790284055131
541.0,2.0970315592388493
542.0,1.8258335085232436
543.0,3.0271323204361225
544.0,3.030096332500138
545.0,3.0388577592718358
546.0,2.1265594114368582
547.0,3.0446093556386993
548.0,3.050278544865848
549.0,3.055878251078509
550.0,2.26615747064585
551.0,3.0641429660144657
552.0,2.2715823293369417
553.0,2.2769368445147946
554.0,3.080215015576231
555.0,2.2848535420705836
556.0,2.2900478680125063
557.0,3.090610707828407
558.0,3.093169571939408
559.0,2.3002602507726597
560.0,2.3027746511800995
561.0,2.30776337832295
562.0,3.1082234928194206
563.0,3.090610707828407
564.0,3.0722533343712404
565.0,1.9288203115851927
566.0,1.9232954123996437
567.0,2.2578927557098933
568.0,2.2634176548954423
569.0,3.0641429660144657
570.0,2.268876630476931
571.0,1.936984986026692
572.0,2.2742678390026247
573.0,3.0749223398834102
574.0,3.0775784377355646
575.0,3.080215015576231
576.0,2.164789093237358
577.0,1.726548880351823
578.0,1.5149230722590503
579.0,1.3177682478225463
580.0,1.112295806626316
581.0,0.9747739446810447
582.0,0.8022986185827893
583.0,0.6685703703311022
584.0,0.5650165931784624
585.0,0.4665277934630472
586.0,0.38521863599142825
587.0,0.3159021288125975
588.0,0.25401964329911714
589.0,0.1987965227584601
590.0,0.15507872942502784
591.0,0.11576630835192495
592.0,0.08638243124334645
593.0,0.057337144546832
594.0,0.03215998926513636
595.0,0.013850545030785885
596.0,0.0
597.0,0.0
598.0,0.0
599.0,0.0
600.0,0.0
601.0,0.0
602.0,0.0
603.0,0.0
604.0,0.0
605.0,0.0
606.0,0.0
607.0,0.0
608.0,0.0
609.0,0.0
610.0,0.0
611.0,0.0
612.0,0.0
613.0,0.0
614.0,0.0
615.0,0.0
616.0,0.0
617.0,0.0
618.0,0.0
619.0,0.0
620.0,0.0
621.0,0.0
622.0,0.0
623.0,0.0
624.0,0.0
625.0,0.0
626.0,0.0
627.0,0.0
628.0,0.0
629.0,0.0
630.0,0.0
631.0,0.0
632.0,0.0
633.0,0.0
634.0,0.0
635.0,0.0
636.0,0.0
637.0,0.0
638.0,0.0
639.0,0.0
640.0,0.0
641.0,0.0
642.0,0.0
643.0,0.0
644.0,0.0
645.0,0.0
646.0,0.0
647.0,0.0
648.0,0.0
649.0,0.0
650.0,0.0
651.0,0.0
652.0,0.0
653.0,0.0
654.0,0.0
655.0,0.0
