,Tension échantillon (Volt),Tension blanc (Volt),Longueur donde,log
,-0.0030503,-0.0040635,87,0.124557709352763
,-0.0030503,-0.0042194,88,0.140908143804898
,-0.0030503,-0.0042974,89,0.148863224758318
,-0.0030503,-0.0045311,90,0.1718610922961
,-0.0031283,-0.004765,91,0.182754510299729
,-0.0031283,-0.0048429,92,0.189797106811203
,-0.0031283,-0.0050768,93,0.210281660081721
,-0.0031283,-0.0053105,94,0.229827018500655
,-0.0032062,-0.0055444,95,0.237863945072036
,-0.0032842,-0.0058562,96,0.251186303500997
,-0.0032062,-0.0060899,97,0.278619551522461
,-0.0032062,-0.0064017,98,0.300304708357592
,-0.0032062,-0.0066355,99,0.31588304372976
,-0.0032062,-0.0069473,100,0.335825443309751
,-0.0031283,-0.0071811,101,0.360882579837793
,-0.0030503,-0.0074149,102,0.38576274361671
,-0.0029724,-0.0077267,103,0.414886797844535
,-0.0028165,-0.0078825,104,0.446954223848573
,-0.0027386,-0.0081164,105,0.471834838374047
,-0.0026606,-0.0083502,106,0.496717290876257
,-0.0025827,-0.0084281,107,0.513655717363723
,-0.0023489,-0.0086619,108,0.566748637674609
,-0.0022709,-0.0087399,109,0.585308453253931
,-0.0021151,-0.0088178,110,0.620029338953865
,-0.0019592,-0.0088958,111,0.657106238196777
,-0.0018033,-0.0090516,112,0.70065737107529
,-0.0016474,-0.0091296,113,0.743652688329317
,-0.0015695,-0.0092854,114,0.772039297145927
,-0.0014136,-0.0093634,115,0.821107040136542
,-0.0013357,-0.0095972,116,0.856435619366839
,-0.0011798,-0.0096751,117,0.913847070666477
,-0.0010239,-0.009753,118,0.978880681217488
,-0.000946,-0.009831,119,1.01670655970025
,-0.000868,-0.009909,120,1.05751010323458
,-0.0007901,-0.0099869,121,1.10174863946014
,-0.0006342,-0.0101427,122,1.20392734245557
,-0.0005563,-0.0102207,123,1.2641715810366
,-0.0005563,-0.0102207,124,1.2641715810366
,-0.0004004,-0.0102987,125,1.41028833857182
,-0.0004004,-0.0103766,126,1.41356100694756
,-0.0003225,-0.0105324,127,1.51399762543293
,-0.0002445,-0.0105324,128,1.63424848094458
,-0.0001666,-0.0106104,129,1.80405675954671
,-0.0001666,-0.0106884,130,1.80723770129256
,-0.0000886,-0.0106884,131,2.08147897647628
,-0.0000886,-0.0106104,132,2.07829803473043
,-0.0000107,-0.0106104,133,2.99634797893227
,-0.0001666,-0.0110781,134,1.82279028405513
,-0.0000886,-0.0110781,135,2.09703155923885
,-0.0001666,-0.011156,136,1.82583350852324
,-0.0000107,-0.0113898,137,3.02713232043612
,-0.0000107,-0.0114678,138,3.03009633250014
,-0.0000107,-0.0117015,139,3.03885775927184
,-0.0000886,-0.0118575,140,2.12655941143686
,-0.0000107,-0.0118575,141,3.0446093556387
,-0.0000107,-0.0120133,142,3.05027854486585
,-0.0000107,-0.0121692,143,3.05587825107851
,0.0000672,-0.012403,144,2.26615747064585
,-0.0000107,-0.012403,145,3.06414296601447
,0.0000672,-0.0125589,146,2.27158232933694
,0.0000672,-0.0127147,147,2.27693684451479
,-0.0000107,-0.0128706,148,3.08021501557623
,0.0000672,-0.0129486,149,2.28485354207058
,0.0000672,-0.0131044,150,2.29004786801251
,-0.0000107,-0.0131824,151,3.09061070782841
,-0.0000107,-0.0132603,152,3.09316957193941
,0.0000672,-0.0134162,153,2.30026025077266
,0.0000672,-0.0134941,154,2.3027746511801
,0.0000672,-0.01365,155,2.30776337832295
,-0.0000107,-0.013728,156,3.10822349281942
,-0.0000107,-0.0131824,157,3.09061070782841
,-0.0000107,-0.0126368,158,3.07225333437124
,0.0001452,-0.012325,159,1.92882031158519
,0.0001452,-0.0121692,160,1.92329541239964
,0.0000672,-0.0121692,161,2.25789275570989
,0.0000672,-0.012325,162,2.26341765489544
,-0.0000107,-0.012403,163,3.06414296601447
,0.0000672,-0.0124809,164,2.26887663047693
,0.0001452,-0.0125589,165,1.93698498602669
,0.0000672,-0.0126368,166,2.27426783900262
,-0.0000107,-0.0127147,167,3.07492233988341
,-0.0000107,-0.0127927,168,3.07757843773556
,-0.0000107,-0.0128706,169,3.08021501557623
,-0.0000886,-0.0129486,170,2.16478909323736
,-0.0002445,-0.0130265,171,1.72654888035182
,-0.0004004,-0.0131044,172,1.51492307225905
,-0.0006342,-0.0131824,173,1.31776824782255
,-0.0010239,-0.0132603,174,1.11229580662632
,-0.0014136,-0.0133383,175,0.974773944681045
,-0.0021151,-0.0134162,176,0.802298618582789
,-0.0028945,-0.0134941,177,0.668570370331102
,-0.0036739,-0.0134941,178,0.565016593178462
,-0.0046091,-0.0134941,179,0.466527793463047
,-0.0056223,-0.01365,180,0.385218635991428
,-0.0065576,-0.0135721,181,0.315902128812597
,-0.0076487,-0.013728,182,0.254019643299117
,-0.0091296,-0.0144294,183,0.19879652275846
,-0.0110781,-0.0158323,184,0.155078729425028
