Longueur d'onde (nm),Absorbance,Absorbance pics,Longueur d'onde pics (nm)
669.3623639059999,-0.055901179192755,,
667.8071539525,-0.0566261549564377,,
666.251943999,0.0653935360370754,,
664.6967340455,-0.0202133503575403,,
663.141524092,-0.0370715001177791,,
661.5863141385,0.022275302561193,,
660.031104185,-0.0505370293726796,,
658.4758942315,-0.0322077650146853,,
656.920684278,0.0294094977207953,,
655.3654743244999,0.0238175442189051,,
653.810264371,-0.0284639216495383,,
652.2550544175,0.0134008299591569,,
650.699844464,0.0330028829595001,,
649.1446345105,-0.0911702826695154,,
647.589424557,-0.0317616504555484,,
646.0342146035,-0.0499291843113031,,
644.47900465,-0.014700785578647,,
642.9237946965,-0.0681708074141255,,
641.3685847429999,-0.0947248630684787,,
639.8133747895,-0.1024967901957406,,
638.258164836,-0.1066455398503711,,
636.7029548825,-0.1128300308454623,,
635.1477449289999,-0.0226606458006954,,
633.5925349755,-0.0870019959659317,,
632.037325022,-0.0833122125728855,,
630.4821150685,-0.0870823988262141,,
628.926905115,-0.0545810516224776,,
627.3716951614999,-0.1334416378372493,,
625.816485208,-0.0388297654530274,,
624.2612752545,-0.0883308772007639,,
622.706065301,-0.0460166288098545,,
621.1508553475,0.0115496010330973,,
619.595645394,-0.0662303476258602,,
618.0404354405,-0.0806824495270483,,
616.485225487,-0.1192734986908061,,
614.9300155335,-0.0655409746113711,,
613.3748055799999,-0.1292788689960778,,
611.8195956265,-0.1396276298904992,,
610.264385673,-0.1116641635055352,,
608.7091757195,-0.1258137246169387,,
607.153965766,-0.1868669542099125,,
605.5987558125,-0.1318642473571417,,
604.043545859,-0.1446998474758694,,
602.4883359055,-0.1059978792972088,,
600.933125952,-0.1218801156869584,,
599.3779159984999,-0.147612023226637,,
597.822706045,-0.0922801659990902,,
596.2674960915,-0.1316839579324095,,
594.712286138,-0.1545445200495777,,
593.1570761845,-0.1045221972484504,,
591.601866231,-0.0726707028969871,,
590.0466562775,-0.062620098322966,,
588.491446324,-0.0323114164660759,,
586.9362363705,-0.0344989026120827,,
585.3810264169999,-0.0502378175812976,,
583.8258164635,-0.0294241785817835,,
582.27060651,-0.0291351764768922,,
580.7153965565,0.008491969668343,,
579.1601866029999,0.0107290463887461,,
577.6049766495,0.0167908604634116,,
576.049766696,0.0290405273543651,,
574.4945567425,0.0415484609058318,,
572.939346789,0.0705263627718965,,
571.3841368354999,0.0339490910096265,,
569.828926882,-0.0037937999103768,,
568.2737169285,-0.0276404270968869,,
566.718506975,0.0236895537220446,,
565.1632970215,0.0775223340410079,,
563.608087068,0.0326268250840596,,
562.0528771145,0.0066990932305297,,
560.497667161,0.0323880535231411,,
558.9424572075,0.0171891990785991,,
557.3872472539999,0.0285024298248404,,
555.8320373005,0.0199809684235508,,
554.276827347,0.0286212469978545,,
552.7216173935,0.0060468334602462,,
551.1664074400001,0.0191874952802663,,
549.6111974865,0.0506609338788857,,
548.055987533,0.0963400950071399,,
546.5007775795,0.0828106263109392,,
544.945567626,0.1166613659945888,,
543.3903576724999,0.0892396816047806,,
541.8351477189999,0.0684307604304793,,
540.2799377655,0.0860686962067771,,
538.724727812,0.0451609169242661,,
537.1695178585,0.1113349982560228,,
535.614307905,0.0338252927171257,,
534.0590979515,0.0688757175425001,,
532.503887998,0.0810856345377384,,
530.9486780445,0.0963534767498638,,
529.3934680909999,0.0645800329951979,,
527.8382581375,0.0849522219126323,,
526.283048184,0.0457691474275418,,
524.7278382305001,0.0742738900311885,,
523.1726282770001,0.1118627513084818,,
521.6174183235,0.069544322687274,,
520.06220837,0.0831504429026649,,
518.5069984165,0.0875556344407049,,
516.951788463,0.0814428846863128,,
515.3965785094999,0.0891843188925506,,
513.8413685559999,0.0847151354962112,,
512.2861586025,0.0900609632169943,,
510.730948649,0.1121562296764293,,
509.1757386955,0.1087603145565349,,
507.620528742,0.0949524427724486,,
506.0653187885,0.1022872326390921,,
504.510108835,0.1252635536892281,,
502.9548988815,0.102743716866958,,
501.39968892799993,0.110582151470074,,
499.8444789745,0.1013461745434217,,
498.289269021,0.1127572100790764,,
496.7340590675,0.1037732907195452,,
495.178849114,0.0976766720301207,,
493.6236391605,0.1114118072511965,,
492.068429207,0.1092476273231318,,
490.5132192535,0.1142844687640767,,
