Longueur d'onde (nm),Absorbance,Tension photodiode 1 (Volt),Tension photodiode 2 (Volt),pas de vis (mm)
800.0,-1.029090622119774,-0.009092625744289188,-0.09722544461348763,0.2
793.779160186,-0.21674754599648105,-0.1781129805534223,-0.2933885205966242,0.4
787.558320372,-0.15846717359174828,-0.20038949202747172,-0.28863043105285224,0.6000000000000001
781.337480558,-0.1451120786635142,-0.23250659893830697,-0.3247486557807812,0.8
775.116640744,-0.22993536106255735,-0.21844860733791652,-0.37092374964239944,1.0
