Longueur d'onde (nm),Tension blanc (Volt),Liste_pas_vis
200.0,-6.9683045,0
201.5552099535,-6.8841856,0.05
203.110419907,-6.8893262,0.1
204.6656298605,-6.891585,0.15000000000000002
206.220839814,-6.8924417,0.2
207.7760497675,-6.899218,0.25
209.331259721,-6.951247,0.3
210.8864696745,-6.9110569,0.35
212.441679628,-6.9183005,0.39999999999999997
213.9968895815,-6.9279586,0.44999999999999996
215.552099535,-6.9366041,0.49999999999999994
217.1073094885,-6.9153408,0.5499999999999999
218.662519442,-6.9366041,0.6
220.2177293955,-6.9295163,0.65
221.772939349,-6.9220391,0.7000000000000001
223.3281493025,-6.913783,0.7500000000000001
224.883359256,-6.9261672,0.8000000000000002
226.4385692095,-6.933956,0.8500000000000002
227.993779163,-6.9396418,0.9000000000000002
229.54898911650002,-6.9104338,0.9500000000000003
231.10419907,-6.9292827,1.0000000000000002
232.65940902350002,-6.9123811,1.0500000000000003
234.21461897700001,-6.9421341,1.1000000000000003
235.7698289305,-6.9106675,1.1500000000000004
237.325038884,-6.9447824,1.2000000000000004
238.8802488375,-6.9270239,1.2500000000000004
240.43545879100003,-6.93528,1.3000000000000005
241.9906687445,-6.9183005,1.3500000000000005
243.54587869800002,-6.910979,1.4000000000000006
245.10108865150002,-6.9045922,1.4500000000000006
246.65629860500002,-6.8977381,1.5000000000000007
248.21150855850001,-6.8927533,1.5500000000000007
249.766718512,-6.888781,1.6000000000000008
251.32192846550004,-6.8876127,1.6500000000000008
252.87713841900003,-6.9673698,1.7000000000000008
254.43234837250003,-6.8873791,1.7500000000000009
255.98755832600003,-6.8878464,1.800000000000001
257.5427682795,-6.9600484,1.850000000000001
259.09797823300005,-6.9693949,1.900000000000001
260.6531881865,-6.9638649,1.950000000000001
262.20839814000004,-6.8876906,2.000000000000001
263.7636080935,-6.9703296,2.0500000000000007
265.31881804700004,-6.9491441,2.1000000000000005
266.8740280005,-6.9682266,2.1500000000000004
268.429237954,-6.8851982,2.2
269.9844479075,-6.8885474,2.25
271.539657861,-6.8893262,2.3
273.0948678145,-6.8930649,2.3499999999999996
274.65007776799996,-6.8983612,2.3999999999999995
276.2052877215,-6.9053711,2.4499999999999993
277.76049767499995,-6.9099665,2.499999999999999
279.3157076285,-6.9183005,2.549999999999999
280.87091758199995,-6.9267124,2.5999999999999988
282.4261275355,-6.9248431,2.6499999999999986
283.98133748899994,-6.919313,2.6999999999999984
285.5365474424999,-6.9484431,2.7499999999999982
287.09175739599993,-6.9051375,2.799999999999998
