Longueur d'onde (nm),Tension blanc (Volt)
649.0285000000006,-0.0685191
650.3746000000007,-0.0687528
651.7207000000006,-0.06735
653.0668000000006,-0.0654015
654.4129000000007,-0.0640765
655.7590000000007,-0.0632972
657.1051000000007,-0.0626736
658.4512000000007,-0.0618942
659.7973000000006,-0.0612707
661.1434000000006,-0.0605693
662.4895000000007,-0.0599458
663.8356000000007,-0.0593222
665.1817000000008,-0.0587767
666.5278000000008,-0.0581532
667.8739000000007,-0.0576855
