Longueur d'onde (nm),Tension référence (Volt),Tension échantillon (Volt),pas de vis (mm)
737.79160186,-1.6114678999885066,0.24944192095457923,2.0
768.89580093,-0.8975427206178809,-0.23889799033139497,1.0
,,,0
