Longueur d'onde (nm),Absorbance
400.0,1.1922912193855593
401.3461,0.0
402.6922,-0.27424127518371805
404.0383,-0.27424127518371805
405.3844,0.0
406.7305,-0.27424127518371805
408.0766,0.0
409.4227,0.0
410.7688,0.2742412751837181
412.1149,0.0
413.461,0.0
414.8071,0.0
416.1532,-0.27424127518371805
417.4993,0.0
418.8454,0.2742412751837181
420.1915,0.2742412751837181
421.5376,0.0
422.8837,0.0
424.2298,0.0
425.5759,-0.27424127518371805
426.922,-0.27424127518371805
428.2681,-0.3943057240169436
429.6142,0.2742412751837181
430.9603,0.0
432.3064,0.0
433.6525,-0.27424127518371805
434.9986,-0.27424127518371805
436.3447000000001,0.2742412751837181
437.6908,0.2742412751837181
439.0369,-0.1666038663888702
440.383,0.0
441.7291,0.0
443.0752,-0.1666038663888702
444.4213,-0.4408451415725883
445.7674,0.2742412751837181
447.1135,-0.4408451415725883
448.4596,-0.1666038663888702
449.8057,-0.4408451415725883
451.1518,0.0
452.4979,0.0
453.844,0.16660386638887018
455.1901,-0.12025085551164755
456.5362,-0.2868547219005177
457.8823,-0.2868547219005177
459.2284,-0.12025085551164755
460.5745,-0.12025085551164755
461.9206,0.0
463.2667,0.0
464.6128,-0.12025085551164755
465.9589,-0.12025085551164755
467.305,0.0
468.65109999999993,-0.09396434983599448
469.9972,-0.12025085551164755
471.3433,0.0
472.6894,-0.12025085551164755
474.0355,0.0
475.38159999999993,0.0
476.7276999999999,-0.09396434983599448
478.0738,-0.09396434983599448
479.4198999999999,-0.07720631206468315
480.766,-0.14281499113354698
482.1121,-0.23677934096954142
483.4582,-0.12252585681910573
484.8043,-0.15237300185559188
486.1504,-0.25881934430452774
487.4965,-0.29619075552982865
488.8426,-0.23058207646096476
490.1887,-0.29683312312412824
491.5348,-0.29683312312412824
492.8809,-0.26958215414205894
494.227,-0.29735082322563855
495.5731,-0.27310695663441814
496.9192000000001,-0.228026864176233
498.2653,-0.27594119590166155
499.6114,-0.2526444747022878
500.9575,-0.27594119590166155
502.3036000000001,-0.2572415948595693
503.64970000000005,-0.2980792582396414
504.9958,-0.2782793364711735
506.34190000000007,-0.2198701836342684
507.6880000000001,-0.2609986573000688
509.0341000000001,-0.2609986573000688
510.38020000000006,-0.22663225070356038
511.7263000000001,-0.19474761063690543
513.0724000000001,-0.18425959085515034
514.4185000000001,-0.213925799623323
515.7646000000001,-0.18425959085515034
517.1107000000001,-0.18425959085515034
518.4568000000002,-0.19474761063690543
519.8029000000001,-0.15649092177157076
521.1490000000001,-0.13731273278515319
522.4951000000001,-0.13731273278515319
523.8412000000001,-0.1172220007309569
525.1873000000002,-0.07005239406340831
526.5334000000001,-0.06647252514895764
527.8795000000001,-0.06647252514895764
529.2256000000002,-0.022138062337979696
530.5717000000002,-0.02103774161160412
531.9178000000002,0.04317580394958387
