Longueur d'onde (nm),Absorbance,Tension reference (Volt),Tension echantillon (Volt),pas de vis (mm)
630.0,0.18745720767035334,-1.7496878149200505,-1.136327088180461,8.030293566520923
629.0,0.212783042239058,-1.7518505841763339,-1.0732824305084125,8.06152404747033
628.0,0.18978117716513385,-1.8241951482036403,-1.178392905391519,8.092754528419738
627.0,0.24041239539028897,-1.7442808986826925,-1.0027762270795313,8.123985009369143
626.0,0.254252274960974,-1.7135696011982073,-0.9542221076759126,8.15521549031855
625.0,0.2976000109043925,-1.651390046565919,-0.8322420432756794,8.186445971267958
624.0,0.34472391882232595,-1.6144067288807842,-0.7299431547829295,8.217676452217363
623.0,0.3720432103326474,-1.5032405041348555,-0.6382418220443193,8.24890693316677
622.0,0.38125240005139277,-1.4758815004303607,-0.6134781355555646,8.280137414116178
621.0,0.44910615633065665,-1.6199217846901437,-0.5759541203000198,8.311367895065583
620.0,0.44692750255304065,-1.4977254477812896,-0.5351859534605664,8.34259837601499
619.0,0.5346209681567539,-1.6680433529268333,-0.4870643753212107,8.373828856964396
618.0,0.5726149829014288,-1.6051068304295832,-0.42942661729806436,8.405059337913803
617.0,0.6239488392155704,-1.6077021516675079,-0.38217014207588146,8.43628981886321
616.0,0.702914835416004,-1.6822094776034862,-0.3333997271372962,8.467520299812616
615.0,0.7145848217508974,-1.58510123901912,-0.30582443614893484,8.498750780762023
614.0,0.8188176604045643,-1.7621237262769043,-0.26743530444138697,8.52998126171143
613.0,0.9329339820001296,-1.883022418379878,-0.2197462682353529,8.561211742660836
612.0,0.9761142996199648,-2.0307394402417125,-0.2145556245419958,8.592442223610243
611.0,0.9994023664893267,-2.022737203089066,-0.20255226118892788,8.62367270455965
610.0,1.069941083132095,-2.1368231944061518,-0.18189782495281812,8.654903185509056
609.0,1.1577702595466155,-2.1336871800399617,-0.14837491674614087,8.686133666458463
608.0,1.2860725996597675,-2.1127083357743577,-0.10933694780578805,8.717364147407869
607.0,1.3572869322989811,-2.3340676371419353,-0.102524227270762,8.748594628357276
606.0,1.3772670365429789,-2.1449335738716377,-0.08998017025686338,8.779825109306683
605.0,1.5208938150371691,-2.400789054289398,-0.0723536071218714,8.811055590256089
604.0,1.55650260842527,-2.130767444654618,-0.059160719109305517,8.842286071205496
603.0,1.6087078592999617,-1.8846444926093184,-0.04640038460986462,8.873516552154904
602.0,1.7298632296588252,-1.8582587355272746,-0.03461329576815058,8.904747033104309
601.0,1.7859988517177445,-1.8966478566118958,-0.031044727553027566,8.935977514053716
600.0,1.834476960580804,-1.9950537743401089,-0.029206374219590325,8.967207995003124
599.0,1.9186915732193437,-2.2874599830968876,-0.027584297749897933,8.998438475952529
598.0,1.921056141747429,-2.3360141526810954,-0.02801685147814503,9.029668956901936
597.0,1.9434373992007925,-2.165263590593018,-0.024664560094380585,9.060899437851344
596.0,2.00249280161096,-2.1869994160726214,-0.021744822426936376,9.09212991880075
595.0,2.010383612638293,-1.9945130876888675,-0.01947391534663877,9.123360399750156
594.0,2.0283414661067964,-1.882481729862968,-0.017635561989277872,9.154590880699562
593.0,2.0127745853804178,-1.8718841721053767,-0.018176254154148922,9.18582136164897
592.0,2.040105759680753,-1.9341718733454087,-0.017635561989954293,9.217051842598377
591.0,1.9676104619003876,-1.9178429728649464,-0.020663438105118656,9.248282323547782
590.0,2.013935832686369,-2.033226625923197,-0.019690192211190408,9.27951280449719
589.0,2.03104100660129,-2.219440927007611,-0.02066343810421878,9.310743285446595
588.0,2.0274389849698204,-2.2126282101205788,-0.020771576537012323,9.341973766396002
587.0,1.9683604773963057,-2.17250886436437,-0.023366898912092843,9.37320424734541
586.0,1.9190590488376853,-2.056043819639251,-0.02477269852815903,9.404434728294815
585.0,1.9483304170115703,-2.2282001409092325,-0.0250971138237982,9.435665209244222
584.0,1.9084499590220785,-2.2341477516495067,-0.02758429775168657,9.46689569019363
583.0,1.866815040001806,-2.1333627802304407,-0.028990097360138998,9.498126171143035
582.0,1.865508525586843,-2.4125761278281836,-0.03288308087651078,9.529356652092442
581.0,1.7923899263732888,-2.3203340673482287,-0.037424894956977185,9.56058713304185
580.0,1.8222217478976412,-2.578676761869014,-0.03883069454939152,9.591817613991255
579.0,1.7177988396716677,-2.5357458140091906,-0.04856315318683979,9.623048094940662
578.0,1.7028530345661503,-2.7445611812395794,-0.05440262830352797,9.654278575890068
577.0,1.642823476180804,-2.803604774403675,-0.06381067147772905,9.685509056839475
576.0,1.6320724660687085,-3.0734103744720955,-0.07170477656376616,9.716739537788882
575.0,1.6027792319643661,-3.0549187201419805,-0.07624659043277385,9.747970018738288
574.0,1.4978896949978815,-2.9609463207769338,-0.09408943033560618,9.779200499687695
573.0,1.458872700690472,-2.9367232652539332,-0.10209167355276376,9.810430980637102
572.0,1.4993964505989898,-3.094172939878329,-0.09798241356763228,9.841661461586508
571.0,1.4338054605622503,-2.986358851597984,-0.10998577829034434,9.872891942535915
570.0,1.4191480257938354,-2.8588635596289023,-0.10890439411543289,9.904122423485322
569.0,1.3459424107316438,-2.9238548094748027,-0.1318297389933926,9.935352904434728
568.0,1.3450859825894945,-3.2412413774770084,-0.14642842526073388,9.966583385384135
567.0,1.2902157173141964,-2.970462503267663,-0.15226789966177764,9.99781386633354
566.0,1.304519501302899,-2.978356589725807,-0.1477260862213161,10.029044347282948
565.0,1.2398317530857061,-2.8366951532772955,-0.16329801798768262,10.060274828232355
564.0,1.2186063984715578,-2.7944130203878537,-0.168921215472572,10.091505309181763
563.0,1.2122949372577478,-2.7646749333661464,-0.1695700458683643,10.122735790131168
562.0,1.178277314198138,-2.6884373179779177,-0.17832925735696484,10.153966271080575
561.0,1.2045180856600934,-2.80219896881054,-0.1749769665701225,10.18519675202998
