Longueur d'onde (nm),Tension photodiode 1 (Volt),Tension photodiode 2 (Volt),pas de vis (mm)
800.0,-0.9484864805680452,-1.508218339296331,1.0
768.89580093,-0.7572889427779147,-1.2741966056957674,2.0
