Longueur d'onde (nm),Tension blanc (Volt),Liste_pas_vis
385.38102639690163,-0.20267046740577724,0
387.45412126491715,-0.17599718973150172,0.06665
389.5272161329326,-0.17317372168424044,0.1333
391.60031100094807,-0.18764702909963749,0.19995000000000002
393.6734058689636,-0.19412725213368112,0.2666
395.74650073697904,-0.20051039311387014,0.33325
397.8195956049945,-0.20461210722929507,0.3999
399.89269047300996,-0.22422266901576338,0.46654999999999996
401.9657853410255,-0.22144774220500424,0.5332
404.03888020904094,-0.20008970448026825,0.59985
406.1119750770564,-0.19985508966045948,0.6665
408.18506994507186,-0.2006317456021532,0.73315
410.2581648130874,-0.22137493071473552,0.7998
412.33125968110284,-0.23530619581786585,0.8664499999999999
414.4043545491183,-0.22434402150012284,0.9330999999999999
416.4774494171338,-0.23513630233486565,0.9997499999999999
418.5505442851493,-0.23803258157914212,1.0664
420.62363915316473,-0.24122819692253694,1.1330500000000001
422.6967340211802,-0.26273185615065925,1.1997000000000002
424.7698288891957,-0.30150801647375475,1.2663500000000003
426.84292375721117,-0.3625968475333093,1.3330000000000004
428.9160186252266,-0.3893995607140551,1.3996500000000005
430.9891134932421,-0.3916486262581389,1.4663000000000006
433.0622083612576,-0.3562056179325158,1.5329500000000007
435.13530322927306,-0.3132630256696716,1.5996000000000008
437.2083980972885,-0.3052375823835453,1.666250000000001
439.28149296530404,-0.3083765662587876,1.732900000000001
441.3545878333195,-0.30472790201422795,1.799550000000001
443.42768270133496,-0.30421013148346693,1.8662000000000012
445.5007775693504,-0.33267942031670183,1.9328500000000013
447.57387243736594,-0.3449926503752589,1.9995000000000014
449.6469673053814,-0.3236184362098912,2.0661500000000013
451.72006217339685,-0.34881929804494216,2.1328000000000014
453.79315704141237,-0.35036451940132624,2.1994500000000015
455.86625190942783,-0.3175993538222311,2.2661000000000016
457.9393467774433,-0.30941210734358754,2.3327500000000017
460.01244164545875,-0.28224533416106257,2.3994000000000018
462.08553651347427,-0.2755547677459541,2.466050000000002
464.1586313814897,-0.32333528046598253,2.532700000000002
466.2317262495052,-0.31792296043196633,2.599350000000002
468.30482111752065,-0.26241633972580825,2.666000000000002
470.37791598553616,-0.2503781739026103,2.7326500000000022
472.4510108535516,-0.23175461316650212,2.7993000000000023
474.5241057215671,-0.20847920651170243,2.8659500000000024
476.5972005895826,-0.2030749757194749,2.9326000000000025
478.67029545759806,-0.1983341384586277,2.9992500000000026
480.7433903256135,-0.20430468092427123,3.0659000000000027
482.816485193629,-0.21125413337963445,3.132550000000003
484.8895800616445,-0.22756390741904076,3.199200000000003
486.96267492965995,-0.3431400027477899,3.265850000000003
489.0357697976754,-0.43192955115630066,3.332500000000003
491.10886466569093,-0.37751510992721504,3.3991500000000032
493.1819595337064,-0.3603963229254648,3.4658000000000033
495.25505440172185,-0.35444196212995444,3.5324500000000034
497.3281492697373,-0.2964354832302199,3.5991000000000035
499.4012441377528,-0.25030536241615126,3.6657500000000036
501.4743390057683,-0.25964141308607036,3.7324000000000037
503.54743387378375,-0.23493404821319577,3.799050000000004
505.6205287417992,-0.22021803702587786,3.865700000000004
507.6936236098147,-0.22275834903230157,3.932350000000004
509.7667184778302,-0.21719231505993944,3.999000000000004
511.83981334584564,-0.21957891393829274,4.065650000000004
513.9129082138611,-0.22928711267746085,4.132300000000004
515.9860030818766,-0.22946509633216644,4.198950000000004
518.059097949892,-0.21893170067300746,4.2656000000000045
520.1321928179075,-0.2326121707113496,4.332250000000005
522.205287685923,-0.25704447005894965,4.398900000000005
524.2783825539385,-0.2240851362141091,4.465550000000005
526.351477421954,-0.22794414518133835,4.532200000000005
528.4245722899694,-0.2745596774522206,4.598850000000005
530.497667157985,-0.3585113147066811,4.665500000000005
532.5707620260005,-0.35875401962888526,4.732150000000005
534.6438568940159,-0.28392808844790324,4.798800000000005
536.7169517620314,-0.2915004827241054,4.865450000000005
538.7900466300468,-0.2539540269389159,4.9321000000000055
540.8631414980623,-0.23261217070718526,4.998750000000006
542.9362363660778,-0.2749722758756464,5.065400000000006
545.0093312340932,-0.27983446501296694,5.132050000000006
547.0824261021087,-0.21516977362733353,5.198700000000006
549.1555209701241,-0.2015540245090975,5.265350000000006
551.2286158381397,-0.16099802117671091,5.332000000000006
553.3017107061552,-0.1492268287182484,5.398650000000006
555.3748055741708,-0.15061024722426966,5.465300000000006
557.4479004421862,-0.13741518514812093,5.531950000000006
559.5209953102017,-0.1328442408160045,5.5986000000000065
561.5940901782172,-0.13123429757491406,5.665250000000007
563.6671850462327,-0.1337988805191824,5.731900000000007
565.7402799142483,-0.13476970055346837,5.798550000000007
567.8133747822637,-0.1484097218752639,5.865200000000007
569.8864696502792,-0.1407968749092106,5.931850000000007
571.9595645182947,-0.14468824516064308,5.998500000000007
574.0326593863102,-0.15183995256423644,6.065150000000007
576.1057542543257,-0.14703439352500672,6.131800000000007
578.1788491223413,-0.13478588088982651,6.198450000000007
580.2519439903567,-0.11912331738460584,6.265100000000007
582.3250388583722,-0.11286961807233246,6.3317500000000075
584.3981337263878,-0.10922095258875233,6.398400000000008
586.4712285944032,-0.10817732098966867,6.465050000000008
588.5443234624188,-0.10996524798498249,6.531700000000008
590.6174183304342,-0.10749774692627645,6.598350000000008
592.6905131984497,-0.0971504226597065,6.665000000000008
594.7636080664653,-0.10011951416830323,6.731650000000008
596.8367029344807,-0.11104933041582812,6.798300000000008
598.9097978024963,-0.1050949671916229,6.864950000000008
600.9828926705118,-0.0933156831954462,6.931600000000008
603.0559875385272,-0.10283781046052995,6.9982500000000085
