Longueur d'onde (nm),Absorbance (Fente_1nm)
600,0.026195998288652367
599,0.05630847057422581
598,0.054538369756573134
597,0.09014640521195236
596,0.07991598935604971
595,0.07940350374940318
594,0.034389901861506984
593,0.06766065620955042
592,0.06654363786771209
591,0.024436642037680128
590,0.06647118095625582
589,0.08177767677380443
588,0.10441111066934568
587,0.039318362549112675
586,0.019171427250551785
585,0.06250361082470472
584,0.05723924761033013
583,0.020530779332552103
582,0.07954130317786515
581,0.07970585746197156
580,0.08244093753395973
579,0.021101663336396223
578,0.05255262904208007
577,0.09972503781872655
576,0.059656552864925924
575,0.03534878832489984
574,0.08144598075177291
573,0.07535088514769442
572,0.014786032286802133
571,0.10326332590519749
570,0.07563803421763196
569,0.08750373730655209
568,0.09905734946962526
567,0.11196820084194613
566,0.10567612094432738
565,0.08141353818661029
564,0.1215784888422414
563,0.07903123473547405
562,0.08989293163082915
561,0.08456975871223466
560,0.13937018873238025
559,0.11590484999635926
558,0.16262800976113112
557,0.17542824405366034
556,0.1695226342094326
555,0.2227694127852004
554,0.23738056936388513
553,0.22462862524123384
552,0.2628140332678074
551,0.3250194072856791
550,0.36399822358563144
549,0.36677329015579796
548,0.3953907944533016
547,0.46665479331712345
546,0.5228692492641173
545,0.6409412737455811
544,0.7021658754394672
543,0.739081477940638
542,0.8247482533072765
541,0.9099755324773505
540,1.0146222282513537
539,1.0463329202590055
538,1.0886652728283643
537,1.2522094795123713
536,1.2440129198677607
535,1.3490387481821295
534,1.3781092264481427
533,1.396191625885756
532,1.5078213786157517
531,1.527825710183145
530,1.5197007762617118
529,1.4915084844065023
528,1.5145114551629755
527,1.4878361850285062
526,1.5668360738777767
525,1.5024744453087615
524,1.468799386899561
523,1.4305809742395597
522,1.3945983254046626
521,1.3365506950519495
520,1.2850914295248326
519,1.2629321804618072
518,1.2104074862543959
517,1.169601600194252
516,1.104969381502423
515,1.0365634295563204
514,1.0242499488021033
513,1.025987225485767
512,0.979856005702947
511,0.9644198080864628
510,0.9177779748782117
509.00000000000006,0.9484766560407022
508,1.022061144145993
507,1.032043763803775
506,1.0802355114118452
505,1.1166930415088376
504.00000000000006,1.1096134252309755
503,1.1239138269006803
502,1.2078870911591855
501,1.274919806796367
500,1.3463000768020363
499,1.34557668871785
498,1.4119594149787944
497,1.4576928976172683
496,1.480413553441323
495,1.4984922760754191
494,1.5523235954439756
493.00000000000006,1.4681542038499646
492,1.445446571290753
491,1.4859027713510178
489.99999999999994,1.4304598407244262
489,1.4107039861806714
488,1.4159230748944498
487,1.3262306115376343
486,1.2549730696447972
485,1.198018124435413
484,1.1739757896208398
483,1.103890754257153
482.00000000000006,1.0052397844165109
481,0.9927955733440154
480,0.9303353529762132
479,0.8935862378875832
478,0.8254634243401838
477.00000000000006,0.8441275126157654
476,0.7943505632646449
475,0.8080446424689848
474,0.7780802596681521
473,0.7252962800851495
472,0.7893484251489248
471,0.7818255618697765
470,0.7900695470969671
469,0.8071418272344153
467.99999999999994,0.8494110677762908
467,0.8383134071798669
466.00000000000006,0.8287567023386178
465,0.8123921327697549
464,0.9140945360662075
462.99999999999994,0.9154674933617994
462,0.8523091552668276
461.00000000000006,0.86690655033436
460,0.8853094760580068
459,0.8426037850384871
458,0.8287502092576535
457,0.778333135092557
456,0.766073277247309
455,0.678215390765987
454,0.6621385765018504
453,0.6118104098430023
451.99999999999994,0.5854245154331442
451,0.5327689788560693
450.00000000000006,0.5325545039928412
449,0.4717940486534221
448,0.5004694729715364
446.99999999999994,0.4121555388314012
446,0.47148522255998
445,0.3906407879124488
444,0.40898550614899115
443,0.39671345411838477
442,0.43444209494714164
440.99999999999994,0.42699791275600807
440,0.3423181748197221
439,0.423690310644277
438,0.4342781211612117
437,0.4270553619547731
435.99999999999994,0.4192936234409633
435,0.4192111206423567
434.00000000000006,0.38662573113639587
433,0.3546324999948647
432,0.3891218280850233
430.99999999999994,0.34398774948950106
430,0.31882201149558076
429,0.34364274652559196
428,0.3069346769602205
427,0.3479225173376387
426,0.27283712996217696
424.99999999999994,0.269652131681333
424,0.25641829383977743
423.00000000000006,0.24405627579838385
422,0.2784133410926085
421,0.2665878094483382
419.99999999999994,0.25052539018396175
419,0.24167593410704388
418,0.2685771144378253
417,0.25501275437658383
416,0.23954274969970465
415,0.32064017233165937
413.99999999999994,0.2601895805860178
413,0.22648308359565775
412,0.30193911166426374
411,0.2605956655417489
410,0.2556582363682776
408.99999999999994,0.2640415672298104
408,0.28025975549641274
407,0.29509734634434476
406,0.2975204943248198
405,0.25278737189716755
403.99999999999994,0.3046860617769333
402.99999999999994,0.34735571299743917
402,0.34426734026844663
401,0.31210307874460125
400,0.32937294256551586
