Longueur d'onde (nm),Absorbance (Fente_1nm)
600.0,0.10428872104620135
599.0,0.10229109164597909
598.0,0.10046112912688768
597.0,0.09879883348892714
596.0,0.09730420473209744
595.0,0.09597724285639861
594.0,0.09481794786183063
593.0,0.0938263197483935
592.0,0.09300235851608724
591.0,0.09234606416491183
590.0,0.09185743669486728
589.0,0.09153647610595358
588.0,0.09138318239817074
587.0,0.09139755557151875
586.0,0.09157959562599763
585.0,0.09192930256160735
584.0,0.09244667637834794
583.0,0.09313171707622024
582.0,0.09270345575158595
581.0,0.09194465974708445
580.0,0.09316522334527164
579.0,0.0956685117907427
578.0,0.09836332942797811
577.0,0.09930639980099136
576.0,0.09982736591294643
575.0,0.10028954198882842
574.0,0.10116930302916971
573.0,0.10120420243934197
572.0,0.10166247271690931
571.0,0.10371793220919769
570.0,0.10900470621508915
569.0,0.11134242672283609
568.0,0.11157143231767216
567.0,0.11398734883449439
566.0,0.11833336239582655
565.0,0.12185194542583161
564.0,0.12732362326559502
563.0,0.13373080017143568
562.0,0.13928905889625645
561.0,0.14403542352676035
560.0,0.15297066488896094
559.0,0.16542159352361868
558.0,0.17822206908461014
557.0,0.19138795213183224
556.0,0.21139670656862278
555.0,0.235557429981407
554.0,0.2564230376224168
553.0,0.2881109676133257
552.0,0.3208802648255521
551.0,0.3595521072811
550.0,0.40411526876348797
549.0,0.4506228272573899
548.0,0.5020733531826905
547.0,0.5577927248698407
546.0,0.6202967326437975
545.0,0.6827912829087375
544.0,0.7485056878411673
543.0,0.8115486694296131
542.0,0.8800657198607371
541.0,0.9479825957655126
540.0,1.017279844046083
539.0,1.0854148533435095
538.0,1.151141676199374
537.0,1.215530398593912
536.0,1.2748645125354863
535.0,1.3281064794454698
534.0,1.375841783882743
533.0,1.4194702068509057
532.0,1.4574080392255246
531.0,1.4849558452995342
530.0,1.5022894372685447
529.0,1.5132179533688337
528.0,1.5158094472220918
527.0,1.514464279368284
526.0,1.5041934983615737
525.0,1.483164217869604
524.0,1.4572986267487313
523.0,1.4261883223061065
522.0,1.3927461333669482
521.0,1.3566481662164815
520.0,1.317884312823928
519.0,1.2805249774326584
518.0,1.2397944234502907
517.0,1.2018202106141371
516.0,1.1676955347337632
515.0,1.1347618783201217
514.0,1.1094278274808669
513.0,1.089992992779717
512.0,1.0757993932722405
511.0,1.0646686698375767
510.0,1.0645147097139644
509.00000000000006,1.0698888527925834
508.0,1.0830881170663063
507.0,1.102116415686557
506.0,1.1257441404285007
505.0,1.152205745217173
504.00000000000006,1.184734416347076
503.0,1.2200620044300117
502.0,1.2564522666112679
501.0,1.292860506468086
500.0,1.3289896320161392
499.0,1.3650453013934678
498.0,1.3950585141020366
497.0,1.4198287704088157
496.0,1.4396381513437357
495.0,1.4558319484548283
494.0,1.4621562292662653
493.00000000000006,1.4624204711642834
492.0,1.4520503060780219
491.0,1.436153036634
490.0,1.41781956739935
489.0,1.3900443631195896
488.0,1.358445932644627
487.0,1.3225698781739252
486.0,1.2807188354752421
485.0,1.2333490762003148
484.0,1.1867647394280634
483.0,1.141227400248775
482.00000000000006,1.0982232514480645
481.0,1.050868375420226
480.0,1.0077367065325278
479.0,0.9713820018603077
478.0,0.9379974129204682
477.00000000000006,0.9081019379382207
476.0,0.8866036528424869
475.0,0.8662576131904745
474.0,0.8506968947563979
473.0,0.8411943283440367
472.0,0.8366710318948194
471.0,0.8349951984491996
470.0,0.8387541945378799
469.0,0.8423869599402241
468.0,0.8468709933719457
467.0,0.8499530899933967
466.00000000000006,0.8552665127382868
465.0,0.8566751553368738
464.0,0.8570204400572196
463.0,0.8532037010824435
462.0,0.8488942077133979
461.00000000000006,0.8403026770656616
460.0,0.8271297186550516
459.0,0.8111183457759084
458.0,0.7915456930630422
457.0,0.7739618015830112
456.0,0.7495121600169701
455.0,0.7205745994280244
454.0,0.6932611330449077
453.0,0.6650119450281109
452.0,0.6363872299801503
451.0,0.6093880169773997
450.00000000000006,0.5853404675059516
449.0,0.5596202477327638
448.0,0.5358573968455006
447.0,0.5126442342324318
446.0,0.4937909474370415
445.0,0.4785816133558054
444.0,0.4609448204343145
443.0,0.44910190766488073
442.0,0.4402495881509876
441.0,0.43236372292905967
440.0,0.42656015289201427
439.0,0.41939116972467844
438.0,0.4146052908467767
437.0,0.4086834972375707
436.0,0.40392445479428907
435.0,0.3973016624539286
434.00000000000006,0.39144971713222587
433.0,0.3848839887829629
432.0,0.375982066548849
431.0,0.3681449463226708
430.0,0.3634545272135365
429.0,0.3522216617275067
428.0,0.3459813176739019
427.0,0.33683540484449054
426.0,0.32822615648081654
425.0,0.318782316266535
424.0,0.311152852495413
423.00000000000006,0.30431220316537855
422.0,0.29622583042343703
421.0,0.28997979448868955
420.0,0.2841436979380233
419.0,0.28024991606210137
418.0,0.27928101109039105
417.0,0.27936840737993907
416.0,0.2786064887152904
415.0,0.2785981331842714
414.0,0.2793433407868794
413.0,0.2808421115231144
412.0,0.28309444539297635
411.0,0.28610034239646526
410.0,0.2898598025335812
409.0,0.2943728258043241
408.0,0.29963941220869394
407.0,0.30565956174669084
406.0,0.3124332744183147
405.0,0.3199605502235655
404.0,0.32824138916244333
403.0,0.33727579123494816
402.0,0.34706375644107995
401.0,0.3576052847808387
400.0,0.3689003762542245
