Longueur d'onde (nm),Absorbance (Fente_1nm)
600,0.08895733335209342
599,0.06556125391750123
598,0.10116444844484335
597,0.09956896164795503
596,0.12295583406002428
595,0.11248462548160659
594,0.10268064100376756
593,0.07837443868942667
592,0.12321143234557602
591,0.08160025536136296
590,0.11896464483161878
589,0.11441570803527346
588,0.09896658252415584
587,0.13121333169006186
586,0.12213448261632859
585,0.09087918694994768
584,0.1190366921665347
583,0.08642575034715802
582,0.12637606461415038
581,0.14437650782976094
580,0.10171103685003831
579,0.12091132770646568
578,0.0960986385213635
577,0.11613588738885104
576,0.1489005060680622
575,0.1551770164673548
574,0.12843335327256195
573,0.12685343108047312
572,0.1359281584185556
571,0.10325438362833801
570,0.12206927014290361
569,0.11444533913170417
568,0.11043662154170775
567,0.11206852699264722
566,0.1137384358582211
565,0.15620124882167954
564,0.17254236968268055
563,0.1399763089755195
562,0.13946562388537667
561,0.1689497036437598
560,0.15673310098213988
559,0.1427253039402111
558,0.1534742212175207
557,0.189611290529339
556,0.1578362085233849
555,0.14869367514228315
554,0.1663934321831933
553,0.18984996206992857
552,0.22471773606096507
551,0.23969714299042613
550,0.2486148103666055
549,0.31920802675870324
548,0.2946284240386971
547,0.33281665006999755
546,0.36605188244739945
545,0.3480493373072892
544,0.4564963603334385
543,0.42289633470802174
542,0.48024865261814886
541,0.5476077099155574
540,0.5817880638600632
539,0.5866929491289772
538,0.7042378305900889
537,0.6836189252526592
536,0.7370022975075252
535,0.767406413486728
534,0.7696578842700957
533,0.801589898862068
532,0.9039948213873344
531,0.8714479312399283
530,0.9252915075860391
529,0.9730836017205489
528,0.8818064829576504
527,0.9530752308119619
526,0.9174969158187423
525,0.9716016480521176
524,0.9145663231997333
523,0.8300722232912998
522,0.8203511524216976
521,0.8121389092296462
520,0.8083820679791902
519,0.7495064993725418
518,0.7140600972726034
517,0.689915627357206
516,0.6757316715045606
515,0.6176027480506182
514,0.642161156552579
513,0.5941379877975181
512,0.5856943221350329
511,0.5808621358524423
510,0.5513232138102862
509.00000000000006,0.5488841146449172
508,0.5778738867573606
507,0.5539217064508174
506,0.5958667583288466
505,0.6520416178389495
504.00000000000006,0.6694889937396065
503,0.6340194649372426
502,0.7313202415517518
501,0.7645812919429804
500,0.7624724497715837
499,0.8091289337352943
498,0.7717570695359629
497,0.8305621581310292
496,0.8990240402161782
495,0.8756591506065181
494,0.912754441071454
493.00000000000006,0.8903118612061122
492,0.8692818125200646
491,0.8902731131100841
489.99999999999994,0.8497586589052047
489,0.869915916921752
488,0.8534896689049515
487,0.7918228091932594
486,0.7394555679603798
485,0.7227166736496794
484,0.6882819040493364
483,0.6957203268967769
482.00000000000006,0.6160470053365498
481,0.5770490515316289
480,0.532747224285354
479,0.5478289260155565
478,0.5354338589909505
477.00000000000006,0.5172397374768098
476,0.5220104634617022
475,0.512820132786468
474,0.4229607882975927
473,0.5082579098390843
472,0.48338375520653404
471,0.5227883519428915
470,0.4746551540035399
469,0.5089695309178894
467.99999999999994,0.4806998469960064
467,0.49001432142397094
466.00000000000006,0.5509314961428404
465,0.5362979912500704
464,0.49123937723979605
462.99999999999994,0.5513673354032954
462,0.49249327520816505
461.00000000000006,0.5103650940785188
460,0.4810984614246651
459,0.4916350657831306
458,0.49738765551228514
457,0.474082293503189
456,0.46261569784662093
455,0.4231481820577755
454,0.4210063622638624
453,0.38792142905560456
451.99999999999994,0.36352451923973383
451,0.3756818616134376
450.00000000000006,0.33990925877556105
449,0.36100447951679504
448,0.348056441013499
446.99999999999994,0.2670966825250103
446,0.30756092487258163
445,0.27894657586064886
444,0.2842319653709499
443,0.2962194043707609
442,0.3009779499891588
440.99999999999994,0.2730820424960423
440,0.28450608839504704
439,0.30505297389301805
438,0.2701004022699167
437,0.30062909019672407
435.99999999999994,0.24335051745268735
435,0.21614528498618588
434.00000000000006,0.2964482572020317
433,0.25472337313329035
432,0.2506295320888643
430.99999999999994,0.26237043020539536
430,0.2504835501512968
429,0.2727988040067267
428,0.2363830377046983
427,0.2177783887926284
426,0.20534667282135224
424.99999999999994,0.2668383514536521
424,0.225481613239303
423.00000000000006,0.17272197009654056
422,0.18473361777647324
421,0.17279748135054543
419.99999999999994,0.21120629255094578
419,0.2795772062636964
418,0.21772938052816906
417,0.20600926811730927
416,0.17830130103730724
415,0.1472399608842084
413.99999999999994,0.2223492337223043
413,0.20234764437236466
412,0.22368813587779623
411,0.19202469967229607
410,0.27982238350531385
408.99999999999994,0.21504387530586308
408,0.19532268261137511
407,0.2134926788651842
406,0.2406475945310912
405,0.2142469309172783
403.99999999999994,0.26032436082133853
402.99999999999994,0.292475651605409
402,0.17875409071773285
401,0.24743959325216333
400,0.2683123291134207
