Longueur d'onde (nm),Tension blanc (Volt),Liste_pas_vis
737.79160186,-0.0020666720652994987,1.9999999999999998
744.012441674,-0.0022446557926196304,1.7999999999999998
750.233281488,-0.00179969647377779,1.5999999999999999
756.454121302,-0.0020828524043876367,1.4
762.674961116,-0.002228475454112848,1.2
768.89580093,-0.0022042049460754775,1.0
775.116640744,-0.002535901892941033,0.8
781.337480558,-0.0018805981679918655,0.6000000000000001
787.558320372,-0.0042914686637342365,0.4
793.779160186,-0.0042429276471276,0.2
800.0,-0.0044290015440498955,0
