Longueur d'onde (nm),Absorbace,Absorbance pics,Longueur d'onde pics (nm)
341.78999999999985,0.0069832872561248205,0.17841036880075234,382.61549999999994
344.5116999999999,0.00018478136111643641,1.466598856994135,586.7429999999999
347.23339999999985,-0.004251680057501969,0.0308063202249829,799.0355999999999
349.9550999999999,-0.006326096999730394,,
352.67679999999984,-0.006038469465568842,,
355.3984999999999,-0.003388797455017313,,
358.12019999999984,-0.004902063780584786,,
360.8418999999999,0.00410409697525948,,
363.56359999999995,0.014647177307489231,,
366.2852999999999,0.04061328210638691,,
369.00699999999983,0.07384046554928418,,
371.7286999999999,0.10445553182307966,,
374.4503999999999,0.1382627557089465,,
377.17209999999994,0.1581594471391676,,
379.8937999999999,0.17289378682536571,,
382.61549999999994,0.17841036880075234,,
385.3371999999999,0.16830100732853848,,
388.05889999999994,0.14927143535413268,,
390.7805999999999,0.12688086174219015,,
393.5022999999999,0.10646977252241674,,
396.2239999999999,0.09016353491014037,,
398.9456999999999,0.06769847097431372,,
401.6673999999998,0.05322023558859392,,
404.38909999999987,0.034968487955779955,,
407.1107999999998,0.027768809575153597,,
409.83249999999987,0.01948349932854235,,
412.5541999999998,0.011388732882693983,,
415.27589999999987,0.001278536891534229,,
417.9975999999998,0.0012826184555724553,,
420.71929999999986,-0.0021668582173450515,,
423.441,0.0020307043785354256,,
426.16269999999986,-0.0019067554878882311,,
428.88439999999997,0.0030495336653508,,
431.6060999999999,0.005878902399164575,,
434.32779999999997,0.007605958331335522,,
437.0494999999999,0.0048986801830328795,,
439.77119999999996,0.007980834944916887,,
442.4928999999999,0.010397045311280573,,
445.21459999999996,0.010461472150730042,,
447.9362999999999,0.00954945290807988,,
450.65799999999996,0.012399046298180533,,
453.3796999999999,0.010888050921821525,,
456.10139999999996,0.01861599034346986,,
458.8230999999999,0.025247746688014737,,
461.5447999999999,0.03626478507525523,,
464.2664999999999,0.03829062830615406,,
466.9881999999999,0.05055456112919848,,
469.70989999999983,0.06179869689635204,,
472.4315999999999,0.06934736939062038,,
475.15329999999983,0.08042654400657416,,
477.8749999999999,0.0943767831251102,,
480.5967,0.10455897200836767,,
483.3183999999999,0.12007027955123477,,
486.0401,0.13521422139957853,,
488.7617999999999,0.15427233669784696,,
491.4835,0.16687389760923244,,
494.2051999999999,0.1836248097112526,,
496.9269,0.1947865871283675,,
499.6485999999999,0.21435755073439322,,
502.3703,0.2403648006434546,,
505.09199999999987,0.2684577562054131,,
507.8137,0.2924068634299703,,
510.53539999999987,0.32075262747780275,,
513.2571,0.34565254581108074,,
515.9787999999999,0.37727230303198667,,
518.7004999999999,0.409220290213758,,
521.4221999999999,0.4408117687769502,,
524.1439,0.46369468625194543,,
526.8655999999999,0.5062081165588642,,
529.5872999999999,0.5442823063910744,,
532.3089999999999,0.5903197590639007,,
535.0306999999999,0.6337392286969881,,
537.7523999999999,0.6776977423246681,,
540.4740999999999,0.7204934164810457,,
543.1958,0.7713936511850494,,
545.9174999999999,0.8170951935934948,,
548.6392000000001,0.8565183840407529,,
551.3608999999999,0.8928675281063657,,
554.0826,0.9346757611796269,,
556.8042999999999,0.9703561881236219,,
559.5260000000001,1.0220455415460972,,
562.2476999999999,1.0759575308252105,,
564.9694,1.1345181831419229,,
567.6910999999999,1.2039590037133028,,
570.4128000000001,1.2701771916437656,,
573.1344999999999,1.3235602462698042,,
575.8562,1.367970915783443,,
578.5778999999999,1.4139356212262744,,
581.2996,1.4332487962532257,,
584.0212999999999,1.452462088460632,,
586.7429999999999,1.466598856994135,,
589.4646999999999,1.4618307752336168,,
592.1864,1.4532215772913795,,
594.9080999999999,1.4267450287426775,,
597.6297999999999,1.3781559179462128,,
600.3515,1.3020401146781957,,
603.0731999999999,1.1977194628348653,,
605.7948999999999,1.070750636008638,,
608.5165999999999,0.9115876878685066,,
611.2383,0.7546633339755427,,
613.9599999999999,0.60113896152965,,
616.6816999999999,0.45872954965771606,,
619.4033999999999,0.342091657958476,,
622.1251,0.24833729763829357,,
624.8467999999999,0.1791287028605746,,
627.5684999999999,0.12955632436817682,,
630.2901999999999,0.08760807641562457,,
633.0119,0.061374236013675976,,
635.7336,0.03537940961440632,,
638.4553,0.02034452270657469,,
641.1769999999999,0.01804963566883394,,
643.8987,0.01865040904703666,,
646.6204,0.015049740485626982,,
649.3421,0.015784394568667086,,
652.0638,0.011317268222546507,,
654.7855,0.010567560212561507,,
657.5072,0.007410714079304126,,
660.2289,0.0062655032850967,,
662.9505999999999,0.006245513741979512,,
665.6723,0.009190173521442337,,
668.394,0.013113209112437123,,
671.1157,0.01157564241658881,,
673.8373999999999,0.012446676075442614,,
