Indice,Tension (Volt)
0.0,-0.006629527620292466
1.0526315789473684,-0.006791331007737482
2.1052631578947367,-0.006791331007737482
3.1578947368421053,-0.006629527620292466
4.2105263157894735,-0.006791331007737482
5.263157894736842,-0.006791331007737482
6.315789473684211,-0.006629527620292466
7.368421052631579,-0.006953134395114795
8.421052631578947,-0.006629527620292466
9.473684210526315,-0.006953134395114795
10.526315789473683,-0.006629527620292466
11.578947368421051,-0.01035100551443029
12.631578947368421,-0.007438544556840693
13.68421052631579,-0.006629527620292466
14.736842105263158,-0.006953134395114795
15.789473684210526,-0.006953134395114795
16.842105263157894,-0.006629527620292466
17.894736842105264,-0.006629527620292466
18.94736842105263,-0.006629527620292466
20.0,-0.007438544556840693
