Longueur d'onde (nm),Absorbace,Absorbance pics,Longueur d'onde pics (nm)
341.78999999999985,3.6073215913559775e-05,0.015587248502989816,355.3984999999999
344.5116999999999,0.005371340287283841,0.37512598363875244,573.1344999999999
347.23339999999985,0.009594091351676604,0.0023099592537598307,858.913
349.9550999999999,0.012704326409091846,,
352.67679999999984,0.014702045459529568,,
355.3984999999999,0.015587248502989816,,
358.12019999999984,0.015145483417262476,,
360.8418999999999,0.012133290519201232,,
363.56359999999995,0.014371950192501402,,
366.2852999999999,0.011805530515269008,,
369.00699999999983,0.007528164386548353,,
371.7286999999999,0.0015398518063394356,,
374.4503999999999,-0.006159407225357745,,
377.17209999999994,0.0,,
379.8937999999999,0.0,,
382.61549999999994,0.0,,
385.3371999999999,0.0,,
388.05889999999994,0.0,,
390.7805999999999,0.0,,
393.5022999999999,0.0,,
396.2239999999999,0.0,,
398.9456999999999,0.0,,
401.6673999999998,0.0,,
404.38909999999987,0.0,,
407.1107999999998,0.0,,
409.83249999999987,0.0,,
412.5541999999998,0.0,,
415.27589999999987,0.0,,
417.9975999999998,0.0,,
420.71929999999986,0.0,,
423.441,0.0,,
426.16269999999986,0.0,,
428.88439999999997,0.0,,
431.6060999999999,0.0,,
434.32779999999997,0.0,,
437.0494999999999,0.0,,
439.77119999999996,0.0,,
442.4928999999999,0.0,,
445.21459999999996,0.0,,
447.9362999999999,0.0,,
450.65799999999996,0.0,,
453.3796999999999,0.0,,
456.10139999999996,0.0,,
458.8230999999999,0.0,,
461.5447999999999,0.0,,
464.2664999999999,0.0,,
466.9881999999999,0.0,,
469.70989999999983,0.0,,
472.4315999999999,0.0,,
475.15329999999983,0.0,,
477.8749999999999,0.0,,
480.5967,0.0,,
483.3183999999999,0.0,,
486.0401,0.0,,
488.7617999999999,0.0,,
491.4835,0.0,,
494.2051999999999,0.0,,
496.9269,0.0,,
499.6485999999999,0.0,,
502.3703,0.0,,
505.09199999999987,0.0,,
507.8137,0.0,,
510.53539999999987,0.0,,
513.2571,-0.005667524935963649,,
515.9787999999999,-0.0037833724887105227,,
518.7004999999999,0.003050792593876017,,
521.4221999999999,0.008405609345925638,,
524.1439,0.019917292783089832,,
526.8655999999999,0.034723097899613545,,
529.5872999999999,0.061297053656668,,
532.3089999999999,0.09085602380725649,,
535.0306999999999,0.12066035007324064,,
537.7523999999999,0.1427469783558608,,
540.4740999999999,0.16622009755807093,,
543.1958,0.18546961927496874,,
545.9174999999999,0.1975302135916026,,
548.6392000000001,0.20443681304785283,,
551.3608999999999,0.21225190820806497,,
554.0826,0.22619036017041833,,
556.8042999999999,0.2510491196759052,,
559.5260000000001,0.2763199964663682,,
562.2476999999999,0.305991925913324,,
564.9694,0.3326469032376552,,
567.6910999999999,0.3643015857638834,,
570.4128000000001,0.3713821095550163,,
573.1344999999999,0.37512598363875244,,
575.8562,0.3739767486486414,,
578.5778999999999,0.37420320929366424,,
581.2996,0.3568583935732301,,
584.0212999999999,0.33551559945050624,,
586.7429999999999,0.32068118910162535,,
589.4646999999999,0.3099331842069381,,
592.1864,0.3098424407089715,,
594.9080999999999,0.3105639004928412,,
597.6297999999999,0.30435794635893254,,
600.3515,0.29170157512368644,,
603.0731999999999,0.2718348735062654,,
605.7948999999999,0.2390812973576515,,
608.5165999999999,0.17761674211784625,,
611.2383,0.11914691672141339,,
613.9599999999999,0.06871205993308102,,
616.6816999999999,0.026647937973867865,,
619.4033999999999,0.0054318202702884465,,
622.1251,-0.005958817101989476,,
624.8467999999999,-0.006148270945424019,,
627.5684999999999,-0.005546039916161282,,
630.2901999999999,-0.00035039750664376786,,
633.0119,0.0,,
635.7336,0.0,,
638.4553,0.0,,
641.1769999999999,0.0,,
643.8987,0.0,,
646.6204,0.0,,
649.3421,0.0,,
652.0638,0.0,,
654.7855,0.0,,
657.5072,0.0,,
660.2289,0.0,,
662.9505999999999,0.0,,
665.6723,0.0,,
668.394,0.0,,
671.1157,0.0,,
673.8373999999999,0.0,,
