Longueur d'onde (nm),Tension échantillon (Volt),Liste_pas_vis
737.79160186,-0.007923954717532381,1.9999999999999998
744.012441674,-0.008190930304517558,1.7999999999999998
750.233281488,-0.0085792584320212,1.5999999999999999
756.454121302,-0.007923954717124256,1.4
762.674961116,-0.00801294657869664,1.2
768.89580093,-0.008441725552410585,1.0
775.116640744,-0.0077945120076314545,0.8
781.337480558,-0.008021036747586818,0.6000000000000001
787.558320372,-0.010237743142296727,0.4
793.779160186,-0.010431907206310116,0.2
800.0,-0.01065843194549371,0
