Indice,Tension (Volt)
0.0,-0.036391531365648586
1.0526315789473684,-0.03626172261546742
2.1052631578947367,-0.03616436605272909
3.1578947368421053,-0.036553792303155794
4.2105263157894735,-0.037105479488863835
5.263157894736842,-0.036716053240419794
6.315789473684211,-0.03648888792818211
7.368421052631579,-0.03629417480302735
8.421052631578947,-0.035742487613178955
9.473684210526315,-0.03613191386513011
10.526315789473683,-0.03723528823803553
11.578947368421051,-0.036391531365648586
12.631578947368421,-0.036553792303155794
13.68421052631579,-0.037462453548714456
14.736842105263158,-0.0361968182403183
15.789473684210526,-0.03616436605272909
16.842105263157894,-0.036067009489902824
17.894736842105264,-0.036780957615257404
18.94736842105263,-0.0361968182403183
20.0,-0.03648888792818211
