Longueur d'onde (nm),Tension échantillon (Volt),pas
400.0,6.72e-05,0
401.08864696745,6.72e-05,0.035
402.1772939349,-1.07e-05,0.07
403.26594090235,-1.07e-05,0.10500000000000001
404.3545878698,0.0001452,0.14
405.44323483725,-1.07e-05,0.17500000000000002
406.5318818047,-1.07e-05,0.21000000000000002
407.62052877215,-1.07e-05,0.24500000000000002
408.7091757396,-1.07e-05,0.28
409.79782270705,-1.07e-05,0.31500000000000006
410.8864696745,-8.86e-05,0.3500000000000001
411.97511664195,-1.07e-05,0.3850000000000001
413.0637636094,-1.07e-05,0.42000000000000015
414.15241057685,-1.07e-05,0.4550000000000002
415.2410575443,-1.07e-05,0.4900000000000002
416.32970451175004,-1.07e-05,0.5250000000000002
417.4183514792,6.72e-05,0.5600000000000003
418.50699844665,-1.07e-05,0.5950000000000003
419.59564541410003,-1.07e-05,0.6300000000000003
420.68429238155,-1.07e-05,0.6650000000000004
421.772939349,-1.07e-05,0.7000000000000004
422.86158631645003,-1.07e-05,0.7350000000000004
423.9502332839,-1.07e-05,0.7700000000000005
425.03888025135,-1.07e-05,0.8050000000000005
426.1275272188,-1.07e-05,0.8400000000000005
427.21617418625004,-1.07e-05,0.8750000000000006
428.3048211537,-1.07e-05,0.9100000000000006
429.39346812115,-8.86e-05,0.9450000000000006
430.48211508860004,-1.07e-05,0.9800000000000006
431.57076205605,6.72e-05,1.0150000000000006
432.6594090235,-1.07e-05,1.0500000000000005
433.74805599095004,-1.07e-05,1.0850000000000004
434.8367029584,6.72e-05,1.1200000000000003
435.92534992585,-1.07e-05,1.1550000000000002
437.01399689330003,-1.07e-05,1.1900000000000002
438.10264386075,-1.07e-05,1.225
439.1912908282,-1.07e-05,1.26
440.27993779564997,6.72e-05,1.295
441.3685847631,6.72e-05,1.3299999999999998
442.45723173055,-1.07e-05,1.3649999999999998
443.54587869799997,-1.07e-05,1.3999999999999997
444.63452566545,-1.07e-05,1.4349999999999996
445.7231726329,-1.07e-05,1.4699999999999995
446.81181960034996,-1.07e-05,1.5049999999999994
447.9004665678,6.72e-05,1.5399999999999994
448.98911353525,-1.07e-05,1.5749999999999993
450.07776050269996,-1.07e-05,1.6099999999999992
451.16640747015,6.72e-05,1.6449999999999991
452.2550544376,-1.07e-05,1.679999999999999
453.34370140504996,6.72e-05,1.714999999999999
454.4323483725,-8.86e-05,1.749999999999999
455.52099533995,-1.07e-05,1.7849999999999988
456.60964230739995,-1.07e-05,1.8199999999999987
457.69828927484997,-1.07e-05,1.8549999999999986
458.78693624229993,-1.07e-05,1.8899999999999986
459.87558320974995,-1.07e-05,1.9249999999999985
460.96423017719997,-1.07e-05,1.9599999999999984
462.0528771446499,6.72e-05,1.9949999999999983
463.14152411209994,-1.07e-05,2.0299999999999985
464.23017107954996,-8.86e-05,2.0649999999999986
465.318818047,6.72e-05,2.0999999999999988
466.40746501444994,-1.07e-05,2.134999999999999
467.49611198189996,-1.07e-05,2.169999999999999
468.58475894935,-1.07e-05,2.204999999999999
469.6734059168,-1.07e-05,2.2399999999999993
470.76205288425,-1.07e-05,2.2749999999999995
471.85069985169997,-1.07e-05,2.3099999999999996
472.93934681915,-1.07e-05,2.3449999999999998
474.0279937866,-1.07e-05,2.38
475.11664075404997,-1.07e-05,2.415
476.2052877215,6.72e-05,2.45
477.29393468895,-1.07e-05,2.4850000000000003
478.3825816564,-8.86e-05,2.5200000000000005
479.47122862385004,6.72e-05,2.5550000000000006
480.55987559130006,-1.07e-05,2.5900000000000007
481.64852255875,-1.07e-05,2.625000000000001
482.73716952620003,-1.07e-05,2.660000000000001
483.82581649365005,6.72e-05,2.695000000000001
484.9144634611,-1.07e-05,2.7300000000000013
486.00311042855003,-8.86e-05,2.7650000000000015
487.09175739600005,-1.07e-05,2.8000000000000016
488.18040436345007,-1.07e-05,2.8350000000000017
489.2690513309001,-1.07e-05,2.870000000000002
490.35769829835004,-1.07e-05,2.905000000000002
491.44634526580006,-1.07e-05,2.940000000000002
492.5349922332501,-1.07e-05,2.9750000000000023
493.6236392007001,-1.07e-05,3.0100000000000025
494.71228616815006,-1.07e-05,3.0450000000000026
495.8009331356001,-1.07e-05,3.0800000000000027
496.8895801030501,-8.86e-05,3.115000000000003
497.9782270705001,-1.07e-05,3.150000000000003
499.06687403795013,-1.07e-05,3.185000000000003
500.1555210054001,-1.07e-05,3.2200000000000033
501.2441679728501,-1.07e-05,3.2550000000000034
502.3328149403001,-8.86e-05,3.2900000000000036
503.4214619077501,-1.07e-05,3.3250000000000037
504.5101088752001,-1.07e-05,3.360000000000004
505.5987558426501,-1.07e-05,3.395000000000004
506.68740281010014,-8.86e-05,3.430000000000004
507.77604977755016,-8.86e-05,3.4650000000000043
508.8646967450001,-1.07e-05,3.5000000000000044
509.95334371245013,-1.07e-05,3.5350000000000046
511.04199067990015,-1.07e-05,3.5700000000000047
512.1306376473501,-8.86e-05,3.605000000000005
513.2192846148001,-1.07e-05,3.640000000000005
514.3079315822501,-1.07e-05,3.675000000000005
515.3965785497002,6.72e-05,3.7100000000000053
516.4852255171502,-1.07e-05,3.7450000000000054
517.5738724846002,-1.07e-05,3.7800000000000056
518.6625194520502,-1.07e-05,3.8150000000000057
519.7511664195001,-1.07e-05,3.850000000000006
520.8398133869501,6.72e-05,3.885000000000006
521.9284603544002,-1.07e-05,3.920000000000006
523.0171073218502,-1.07e-05,3.9550000000000063
524.1057542893002,-8.86e-05,3.9900000000000064
525.1944012567502,-1.07e-05,4.025000000000007
526.2830482242002,-1.07e-05,4.060000000000007
