Longueur d'onde (nm),Tension photodiode 1 (Volt),Tension photodiode 2 (Volt),pas de vis (mm)
800.0,-0.006880322870135536,-0.003191205613465866,0.05
798.4447900465,-0.0069288638857035205,-0.0028675988387691443,0.1
796.889580093,-0.006872232700584381,-0.002924230025475043,0.15000000000000002
795.3343701395,-0.007139208288973062,-0.00238218867469169,0.2
793.779160186,-0.007114937781589602,-0.0026329839276052224,0.25
792.2239502325,-0.007001675410520036,-0.002867598837629266,0.3
790.668740279,-0.007058306595683256,-0.0033044679867119163,0.35000000000000003
789.1135303255,-0.006904593378698587,-0.003628074757903224,0.4
787.558320372,-0.0069612245635474,-0.0036038042561263527,0.45
786.0031104185,-0.00682369168501337,-0.0031992957823033484,0.5
784.447900465,-0.006872232701395677,-0.002632983925153637,0.55
782.8926905115,-0.00705021642626716,-0.003118394089969356,0.6000000000000001
781.337480558,-0.00704212625775961,-0.002139483590941964,0.6500000000000001
779.7822706045,-0.007042126257550468,-0.002778606976199443,0.7000000000000001
778.227060651,-0.006985495072519207,-0.0033934598539786835,0.7500000000000001
776.6718506975,-0.007365733031841934,-0.002349827997427829,0.8
775.116640744,-0.007511356079893577,-0.0038222388247043876,0.8500000000000001
773.5614307905,-0.007042126258108026,-0.002778606974819454,0.9000000000000001
772.006220837,-0.007276741169037692,-0.003126484260606748,0.9500000000000001
770.4510108835,-0.007349552693232672,-0.0030536727320819,1.0
768.89580093,-0.007155388629197693,-0.0033206483245011033,1.05
767.3405909765,-0.0073980937095808035,-0.003134574429563623,1.1
765.785381023,-0.007422364218086064,-0.00298895138109844,1.1500000000000001
764.2301710695,-0.007487085572932118,-0.0033772795089682013,1.2000000000000002
762.674961116,-0.007762151330851291,-0.00250354121550601,1.2500000000000002
761.1197511625,-0.008288012338133772,-0.003474361542894692,1.3
759.564541209,-0.008627799450365074,-0.002819057826172056,1.35
758.0093312555,-0.008053397427173781,-0.0028109676517301006,1.4000000000000001
756.454121302,-0.0076731594680676226,-0.0032640171408193134,1.4500000000000002
754.8989113485,-0.00779451200834355,-0.002624893757045009,1.5000000000000002
753.343701395,-0.007875413701592872,-0.0035633534061654598,1.55
751.7884914415,-0.007996766241568375,-0.0026087134153747896,1.6
750.233281488,-0.007786421838964559,-0.002001950710312738,1.6500000000000001
748.6780715345,-0.007859233363013921,-0.002471180539169696,1.7000000000000002
747.122861581,-0.007915864548345902,-0.0036685256094091514,1.7500000000000002
745.5676516275,-0.008328463184684264,-0.003967861878757392,1.8
744.012441674,-0.008385094370357041,-0.004089214420800546,1.85
742.4572317205,-0.00871679131305416,-0.0035148123948858592,1.9000000000000001
740.902021767,-0.008724881482227338,-0.0028595086730361643,1.9500000000000002
739.3468118135,-0.008514537079755182,-0.002932320197212201,2.0
737.79160186,-0.008377004201032101,-0.0030941235867285805,2.05
736.2363919065,-0.008474086232759302,-0.003255926972524556,2.1
734.681181953,-0.008514537079714665,-0.0041458456053786764,2.15
733.1259719995,-0.008546897757027936,-0.002835238164858251,2.1999999999999997
731.570762046,-0.008927135715414914,-0.0031022137565704,2.25
730.0155520925,-0.008765332329030786,-0.004420911361828753,2.3
728.460342139,-0.008724881482348712,-0.0026410740981177966,2.35
726.9051321855,-0.008854324191601762,-0.0030132218907499516,2.4
725.3499222319999,-0.008927135715543075,-0.003611894428666329,2.45
723.7947122785,-0.009347824520271384,-0.0036766157835153024,2.5
722.239502325,-0.010003128234357776,-0.0036442551091758722,2.55
720.6842923715,-0.009574349261137035,-0.0034015500262709365,2.6
719.129082418,-0.009008037408819483,-0.0036118944243660593,2.65
717.5738724645,-0.008538807587699614,-0.0030132218887545074,2.7
716.018662511,-0.008474086232901076,-0.0038707798459054954,2.75
714.4634525575,-0.008304192677009778,-0.004388550689277305,2.8
712.908242604,-0.008093848273940222,-0.003029402227313605,2.85
711.3530326505,-0.00788350387103601,-0.0028756890111877173,2.9
709.797822697,-0.007632708621274067,-0.002924230027733198,2.95
708.2426127435,-0.00747090523421807,-0.0032235662939211563,3.0
706.68740279,-0.007648888959521991,-0.004412821191585119,3.05
705.1321928365,-0.007349552693749479,-0.003272107309093814,3.1
703.576982883,-0.007430454386928101,-0.002592533080935301,3.15
702.0217729295,-0.007462815064781624,-0.002713885620676342,3.2
700.466562976,-0.007648888959630227,-0.0026815249443420137,3.25
698.9113530225,-0.008061487596053185,-0.003458181203631406,3.3
697.356143069,-0.007786421838832843,-0.0027138856224833414,3.35
695.8009331155,-0.007656979129296147,-0.002624893758399736,3.4
694.245723162,-0.007616528282509358,-0.0037089764560972378,3.45
692.6905132085,-0.00755989709674164,-0.0037494273011432983,3.5
691.135303255,-0.007673159467740003,-0.0035229025587754925,3.55
689.5800933015,-0.007592257774227226,-0.0035067222236965906,3.6
688.024883348,-0.007195839475879695,-0.0037332469623749718,3.65
686.4696733945,-0.00700976558065963,-0.004647436103847177,3.7
684.914463441,-0.006969314733308377,-0.004744518135004117,3.75
683.3592534875,-0.006904593378283128,-0.0034015500173155853,3.8
681.804043534,-0.00683987202371387,-0.002519721555653968,3.85
680.2488335805,-0.006896503208504867,-0.003474361540461045,3.9
678.693623627,-0.006613347281114954,-0.0028756890111774425,3.95
677.1384136735,-0.0067104293131288375,-0.0031507547675573497,4.0
675.58320372,-0.006532445587466682,-0.003409640188970691,4.05
674.0279937665,-0.006330191353315996,-0.003353009006077689,4.1
672.472783813,-0.006483904570015915,-0.0031831154504682337,4.15
670.9175738595,-0.006718519481787355,-0.0030698530756855117,4.2
669.3623639059999,-0.006491994739959169,-0.0037413371381978372,4.25
667.8071539525,-0.0064110930462302155,-0.0037008862889106138,4.3
666.251943999,-0.006783240836089478,-0.002956590705152654,4.35
664.6967340455,-0.006225019150762787,-0.0033044679857057225,4.4
663.141524092,-0.006589076772132258,-0.003636164934372764,4.45
661.5863141385,-0.006629527619023837,-0.0031912056204091736,4.5
660.031104185,-0.006629527618926054,-0.0037736978126896013,4.55
658.4758942315,-0.006767060497828261,-0.0036927961183153266,4.6
656.920684278,-0.006346371691012306,-0.0030051317214475283,4.65
655.3654743244999,-0.00666997846551026,-0.003199295786592481,4.7
653.810264371,-0.0067508801597259225,-0.0036523452733609038,4.75
652.2550544175,-0.0062978306751705114,-0.003094123586671266,4.8
650.699844464,-0.006330191352311626,-0.0029727710420105907,4.8500000000000005
649.1446345105,-0.0067751506667476395,-0.004234837466581609,4.9
647.589424557,-0.006403002876992981,-0.003490541886601263,4.95
646.0342146035,-0.006411093046287503,-0.003644255104760727,5.0
644.47900465,-0.006443453723560269,-0.0033772795156284197,5.05
642.9237946965,-0.006775150667393421,-0.00401640289565987,5.1000000000000005
641.3685847429999,-0.006694248974231813,-0.004218657135963354,5.15
639.8133747895,-0.0066133472798301,-0.004242927643891796,5.2
638.258164836,-0.0069126835459749295,-0.004477542556174345,5.25
636.7029548825,-0.006580986602912506,-0.004323829338738516,5.3
635.1477449289999,-0.006629527619534563,-0.0035390829069302057,5.3500000000000005
633.5925349755,-0.006775150667380184,-0.00419438662721096,5.4
632.037325022,-0.006767060499143808,-0.004153935782212266,5.45
630.4821150685,-0.00673469982130335,-0.004170116120687796,5.5
628.926905115,-0.006427273385796567,-0.0036927961236728315,5.55
